"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18024319670855297,17841429857362439,paulistaof,"Paulistão F Petrobras","A HORA MAIS FELIZ DO DIA! 🏅#FestivalPaulistaSub14Petrobras",17,"08/22/2026 13:38",https://www.instagram.com/reel/DcWyeyPvcuX/,"Reel do Instagram",,Total,24157,14173,522,26,13,3,6
18122836957891214,17841480665926775,mirassolfcfeminino,"Mirassol FC Feminino","Um banho de água quentinha (🥶) na professora! 

4 jogos, 4 vitórias! ✅

#FutebolFeminino #MirassolFC #Sub15 #festivalpaulistafemininosub14petrobras",14,"08/22/2026 12:33",https://www.instagram.com/reel/DcWq74aPL-E/,"Reel do Instagram",,Total,29764,16651,958,13,17,15,0
17995336883816707,17841429857362439,paulistaof,"Paulistão F Petrobras","“EU VENHO NOS FESTIVAIS DESDE 2024” 🥹
A Isadora da @grenasguerreiras, falou um pouco sobre como é viver o #FestivalPaulistaSub14Petrobras 🥰",30,"08/22/2026 12:14",https://www.instagram.com/reel/DcWnlLYRKS7/,"Reel do Instagram",,Total,5059,3471,163,11,2,10,4
17902703046552378,17841429857362439,paulistaof,"Paulistão F Petrobras","PERÍODO DA TARDE!
Vamos para mais alguns registros do Festival Paulista Sub-14 Petrobras!
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",0,"08/22/2026 11:54",https://www.instagram.com/p/DcWmqHqn-zV/,"Carrossel do Instagram",,Total,12411,4775,295,13,4,2,3
18340039660280788,17841429857362439,paulistaof,"Paulistão F Petrobras","SE TEM GOL, TEM 🫶!
#FestivalPaulistaSub14Petrobras
📷Rebeca Reis/Ag. Paulistão",0,"08/22/2026 11:47",https://www.instagram.com/p/DcWlz45n09X/,"Carrossel do Instagram",,Total,11351,5274,211,21,3,0,0
18050075642584916,17841429857362439,paulistaof,"Paulistão F Petrobras","VAI, DEBOCHA 💁‍♀️
Por aqui tem bola rolando e MUITA dancinha! 😂💃 #FestivalPaulistaSub14Petrobras",7,"08/22/2026 11:27",https://www.instagram.com/reel/DcWjO8IxY_P/,"Reel do Instagram",,Total,22194,11004,408,84,23,0,3
18131617534711781,17841429857362439,paulistaof,"Paulistão F Petrobras","TEM MINI CRAQUE POR AQUI! 🤏🥰
A Maria Vitória, do @mirassolfcfeminino, já balançou as redes duas vezes hoje no #FestivalPaulistaSub14Petrobras💛",11,"08/22/2026 10:27",https://www.instagram.com/reel/DcWcdRlxRMf/,"Reel do Instagram",,Total,9156,5669,307,21,3,12,3
17920571451201533,17841449199932508,womensocceracademy,"WSA • Women’s Soccer Academy •","O marketing tá tentando localizar até agora o movimento da jogadora 🫣😂

Entre um jogo e outro, a gente se diverte por aqui!

GO BLUES 🩵

#momentoéDELAS",13,"08/22/2026 09:49",https://www.instagram.com/reel/DcWYMZJRFjK/,"Reel do Instagram",,Total,19115,10111,539,30,14,2,0
17882347527492859,17841429857362439,paulistaof,"Paulistão F Petrobras","🚲🚲🚲
#FestivalPaulistaSub14Petrobras
📷Rebeca Reis/Ag. Paulistão",0,"08/22/2026 09:00",https://www.instagram.com/p/DcWSsTGjCeG/,"Imagem do Instagram",,Total,32216,13896,705,31,5,4,3
17970727598938579,17841429857362439,paulistaof,"Paulistão F Petrobras","🏃‍♀️💨
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",0,"08/22/2026 08:30",https://www.instagram.com/p/DcWPOszic3W/,"Imagem do Instagram",,Total,7228,3274,142,3,0,0,1
18348622183220382,17841429857362439,paulistaof,"Paulistão F Petrobras","😘❤️
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",0,"08/22/2026 08:00",https://www.instagram.com/p/DcWL1Y-lfqi/,"Carrossel do Instagram",,Total,24562,9784,611,10,5,10,4
17943023262069047,17841429857362439,paulistaof,"Paulistão F Petrobras","NAQUELE PIQUE!
O sabadão do jeito que a gente gosta. Se liga nos primeiros registros do dia.
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",0,"08/22/2026 07:34",https://www.instagram.com/p/DcWI67ej8g5/,"Carrossel do Instagram",,Total,27979,11157,747,62,27,2,6
18093302840644323,17841429857362439,paulistaof,"Paulistão F Petrobras","SABADÃO CHEIO!
São sete confrontos das minhas equipes no @brfeminino A1 e A2!
#ElasEmCampo",0,"08/22/2026 06:00",https://www.instagram.com/p/DcV473ymwV2/,"Imagem do Instagram",,Total,7284,4053,248,22,0,1,7
17979978954080109,17841429857362439,paulistaof,"Paulistão F Petrobras","ALÔ, JAÚ!
O Festival Paulista Sub-14 Petrobras tá na área para mais uma edição!
#FestivalPaulistaSub14Petrobras
📷Rebeca Reis/Ag. Paulistão",0,"08/22/2026 05:40",https://www.instagram.com/p/DcV716CiW2V/,"Carrossel do Instagram",,Total,17203,7229,393,38,6,4,2
18618932935037800,17841429857362439,paulistaof,"Paulistão F Petrobras","Nada como um sábado recheado de jogos do Festival Paulista Sub-14 @petrobras 🤩
#FestivalPaulistaSub14Petrobras",0,"08/22/2026 03:00",https://www.instagram.com/p/DcVkYQFH2Ox/,"Carrossel do Instagram",,Total,16098,5515,285,33,8,0,1
18125480398703777,17841404864387560,taubatefeminino,"Taubaté Futebol Feminino","Confira os bastidores dos treinos das nossas Guerreiras no campo do @bonsucessoreal na preparação para o jogo de amanhã diante do Vasco pelas Quartas de Finais do Brasileiro A2!

🔵⚪️

@preftaubate @esportetaubate @sergiovictorbr",58,"08/21/2026 16:54",https://www.instagram.com/reel/DcUjidsKuYL/,"Reel do Instagram",,Total,3614,2338,105,4,1,0,0
18104417774190698,17841429857362439,paulistaof,"Paulistão F Petrobras","CAMINHADA DO BRASIL!
Rio de Janeiro, São Paulo e Brasília vão receber as #MulheresDesteSolo na primeira fase da Copa do Mundo de 2027.
#CopaDoMundo2027 #Brasil",0,"08/21/2026 14:20",https://www.instagram.com/p/DcUShakGy_j/,"Imagem do Instagram",,Total,3456,1845,61,0,1,0,1
17898376605589332,17841404864387560,taubatefeminino,"Taubaté Futebol Feminino","Nossa delegação já está no Rio de Janeiro para o confronto de sábado diante do Vasco pelas Quartas de Finais do Brasileiro A2 🔵⚪

@preftaubate @esportetaubate @sergiovictorbr",68,"08/20/2026 16:23",https://www.instagram.com/reel/DcR5GYMK_lt/,"Reel do Instagram",,Total,3479,1972,130,5,2,5,0
18116264947936173,17841429857362439,paulistaof,"Paulistão F Petrobras","GOLAÇO DAS GUERREIRINHAS!
Na goleada da Ferroviária contra o Clube Vital no Paulista F Sub-15 Petrobras, a Rafaela não quis saber de nada e mandou a bola pro fundo da rede passando por cima de todo mundo!
#PaulistaFSub15Petrobras",41,"08/20/2026 14:30",https://www.instagram.com/reel/DcRqjRFEUHD/,"Reel do Instagram",,Total,10607,6551,263,14,1,3,4
18088118090429605,17841429857362439,paulistaof,"Paulistão F Petrobras","POR CIMA DA GOLEIRA!
Clara Yasmin fez o gol que abriu o placar da vitória do Santo André contra o Sfera no Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras",41,"08/20/2026 14:00",https://www.instagram.com/reel/DcRqGGVDDwW/,"Reel do Instagram",,Total,17451,10848,471,15,4,16,2
18081929270425488,17841429857362439,paulistaof,"Paulistão F Petrobras","FUTEBOL PAULISTA NO MUNDIAL!
Nove atletas das minhas equipes vão representar a Seleção Feminina Sub-20 na Copa do Mundo da categoria, diretamente Polônia. 
#ElasEmCampo",0,"08/20/2026 12:00",https://www.instagram.com/p/DcRYhvxG6DT/,"Imagem do Instagram",,Total,12284,6396,344,1,2,0,2
18106255153890223,17841429857362439,paulistaof,"Paulistão F Petrobras","A CRAQUE DA RODADA É DAS BRABAS!
Jaqueline foi eleita o destaque da 6ª rodada do Paulistão F Petrobras!
#PaulistãoFPetrobras #CraqueDaRodada",0,"08/20/2026 11:00",https://www.instagram.com/p/DcRRrWaDzwN/,"Imagem do Instagram",,Total,5027,3041,264,5,0,13,2
18119479237922344,17841429857362439,paulistaof,"Paulistão F Petrobras","ANOTA NA AGENDA!
A @neoquimicaarena vai receber 10 jogos na Copa do Mundo Fifa 2027, a sede que mais receberá jogos no Mundial 🤩
#CopaDoMundo #VaiSerÉpico",0,"08/20/2026 07:45",https://www.instagram.com/p/DcQ_9WKlrBH/,"Carrossel do Instagram",,Total,156500,61719,4604,435,17,20,125
17896342911597107,17841429857362439,paulistaof,"Paulistão F Petrobras","RESTAM OITO!
Os confrontos das quartas de final do Paulista F Sub-20 @petrobras ficaram assim.
#PaulistaFSub20Petrobras",0,"08/19/2026 14:04",https://www.instagram.com/p/DcPHAvzk7r_/,"Imagem do Instagram",,Total,17763,9334,335,47,3,1,5
18043960784805306,17841429857362439,paulistaof,"Paulistão F Petrobras","CHUVA DE GOLS!
Assim terminou a primeira fase do Paulista F Sub-20 @petrobras.
#PaulistaFSub20Petrobras",0,"08/19/2026 14:01",https://www.instagram.com/p/DcPGtnBmiYu/,"Imagem do Instagram",,Total,12134,5909,319,22,4,0,1
18178587154372774,17841429857362439,paulistaof,"Paulistão F Petrobras","VALE TUDO!
Com transmissão do YouTube do @paulistao, a última rodada do Paulista F Sub-20 @petrobras promete.
#PaulistaFSub20Petrobras",0,"08/19/2026 05:00",https://www.instagram.com/p/DcODq7lFAD6/,"Imagem do Instagram",,Total,13098,7169,171,23,3,0,1
18161188570481334,17841429857362439,paulistaof,"Paulistão F Petrobras","RANKING DAS ASSISTENTES! 🔥 
Essas são as jogadoras que mais deram passes pra gol no #PaulistãoFPetrobras! #Sil",0,"08/18/2026 15:01",https://www.instagram.com/p/DcMouC7E_Lo/,"Imagem do Instagram",,Total,10800,6457,183,1,1,4,1
17866003593646597,17841429857362439,paulistaof,"Paulistão F Petrobras","O TIMÃO VAI GOLEAR! 🔥
O Corinthians venceu o Audax por 6 a 1 no Paulista F Sub-20 Petrobras e um dos gols rolou depois dessa roubada de bola da Gabi Jordi!
#PaulistaFSub20Petrobras",41,"08/18/2026 14:00",https://www.instagram.com/reel/DcMc8g-iSIT/,"Reel do Instagram",,Total,14017,9089,542,16,3,7,9
18127538410708580,17841429857362439,paulistaof,"Paulistão F Petrobras","GOL DA LARA, ASSISTÊNCIA DA TRAVE! 🤣
As Sereinhas da Vila venceram a Portuguesa no Paulista F Sub-20 Petrobras e a Lara marcou o segundo da partida para cravar a vitória do Santos!
#PaulistaFSub20Petrobras",48,"08/18/2026 13:00",https://www.instagram.com/reel/DcMZvytjF6J/,"Reel do Instagram",,Total,6410,4112,190,8,5,2,0
18468446041118164,17841429857362439,paulistaof,"Paulistão F Petrobras","FALTA SÓ UMA RODADA!
Com as quartas de final se aproximando, vem conferir como está a tabela do Paulista F Sub-20 Petrobras!
#PaulistaFSub20Petrobras",0,"08/18/2026 11:23",https://www.instagram.com/p/DcMPwn7n693/,"Imagem do Instagram",,Total,51118,30793,1238,34,34,3,16
18214216825351127,17841429857362439,paulistaof,"Paulistão F Petrobras","FIM DA PRIMEIRA FASE!
Assim ficou a classificação do Paulista F Sub-15 Petrobras com tudo definido para o mata-mata!
#PaulistaFSub15Petrobras",0,"08/18/2026 09:05",https://www.instagram.com/p/DcMAFkZGyvw/,"Imagem do Instagram",,Total,35046,16456,697,80,3,11,5
18111995014809416,17841429857362439,paulistaof,"Paulistão F Petrobras","QUARTAS DE FINAL NA ÁREA!
Vem conferir as datas dos confrontos de ida e volta das quartas do Paulista F Sub-15 Petrobras!
#PaulistaFSub15Petrobras",0,"08/18/2026 08:58",https://www.instagram.com/p/DcL_N-vHHiK/,"Carrossel do Instagram",,Total,28702,11974,393,113,2,3,6
18066501842741053,17841429857362439,paulistaof,"Paulistão F Petrobras","Fora de casa, o Realidade Jovem sofre revés no jogo de ida da semifinal do Brasileirão A3. 
#ElasEmCampo
📷 Adriano Reis/Planalto EC",0,"08/17/2026 20:12",https://www.instagram.com/p/DcKnlLdHSbd/,"Imagem do Instagram",,Total,6277,3314,79,6,0,1,2
17953498785213861,17841429857362439,paulistaof,"Paulistão F Petrobras","CAMISA DAS TRICOLORES!
O São Paulo lançou, nesta segunda-feira (17), uma camisa exclusiva para as jogadoras da equipe feminina pela primeira vez na história.
#ElasEmCampo 
📷 Reprodução/São Paulo",0,"08/17/2026 11:00",https://www.instagram.com/p/DcJjaJhnJ8z/,"Carrossel do Instagram",,Total,5221,2237,181,3,1,3,2
