"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18028860299838194,17841405688144679,rivalobrasil,"Rivalo Brasil","A gente sabe que você já tem um nome na cabeça…
Comente aqui e marca o clube dele! 👇

#MudeParaRivalo 🔁",0,"07/26/2026 08:03",https://www.instagram.com/p/DbQqpYqyEif/,"Imagem do Instagram","Ocorreu um erro ao computar métricas.",-,,,,,,,
17937871155312678,17841454473375442,ulissescostatv,"ULISSES TV","O GOL DA VITÓRIA! 🔴⚫

Erick apareceu no momento certo! O zagueiro antecipou a marcação e subiu mais alto para testar firme, mandar para o fundo das redes e garantir a vitória do @flamengoguarulhos por 1 a 0 sobre o Independente de Limeira, no jogo de ida da semifinal do Paulista Sub-23.

🎙️ @narraito 

📺 Paulista Sub-23 é na Ulisses TV.

#Paulistão #UlissesTV #FlamengoGuarulhos #AAFlamengo #FutebolPaulista",64,"07/25/2026 18:57",https://www.instagram.com/reel/DbPQuCdpUuQ/,"Reel do Instagram","Ocorreu um erro ao computar métricas.",-,,,,,,,
18024545054849806,17841405688144679,rivalobrasil,"Rivalo Brasil","Interior de São Paulo: Tudo
O resto: Nada 👍

#MudeParaRivalo 🔁",0,"07/23/2026 08:10",https://www.instagram.com/p/DbI9He8lquy/,"Carrossel do Instagram","Ocorreu um erro ao computar métricas.",-,,,,,,,
18085664702542854,17841400074692954,paulistao,Paulistão,"VAI BUSCAR O ACESSO!
O @itaqua.athletico.clube é semifinalista do Paulista Sub-23 Segunda Divisão!
#FutebolPaulista",0,"07/18/2026 12:57",https://www.instagram.com/p/Da8mBvdH2qJ/,"Imagem do Instagram",,Total,62391,28862,886,88,8,19,6
18110666845982822,17841400074692954,paulistao,Paulistão,"HAJA CORAÇÃO!
Enquanto a Ponte Preta vai em busca de três pontos importantes no @brasileiraob, a Portuguesa quer sair na frente nas oitavas de final da @cbfseried.
#PaulistasEmCampo",0,"07/18/2026 06:00",https://www.instagram.com/p/Da7xGQxDpd4/,"Imagem do Instagram",,Total,18291,9757,182,2,0,14,0
17936827320302351,17841400074692954,paulistao,Paulistão,"NÃO PARA DE LUTAR!
O Coringão vai buscar os três pontos na Neo Química Arena no @brasileirao!
#FutebolPaulista #PaulistasEmCampo",0,"07/30/2026 06:00",https://www.instagram.com/p/Dbaqoy0ml11/,"Imagem do Instagram",,Total,8640,4879,155,3,0,2,1
17924498379162120,17841400074692954,paulistao,Paulistão,"Noite vitoriosa dos paulistas no Brasileirão e Sul-Americana! #PaulistasEmCampo",0,"07/29/2026 19:37",https://www.instagram.com/p/DbZokEFGvjj/,"Imagem do Instagram",,Total,19844,11648,292,6,0,8,4
17873669223549228,17841400074692954,paulistao,Paulistão,"GOLEADA DO VERDÃO! 🟢⚪
Vitória gigante do Palmeiras pra se isolar na liderança do Brasileirão! #PaulistasEmCampo
📷 Cesar Greco/Palmeiras",0,"07/29/2026 19:33",https://www.instagram.com/p/DbZoDW8Csaw/,"Imagem do Instagram",,Total,25348,14692,1039,82,1,113,11
18016090676876459,17841400074692954,paulistao,Paulistão,"A vitória que classificou o Massa Bruta às oitavas de final da Sul-Americana! 👏👏👏 #PaulistasEmCampo
📷 Ari Ferreira/Red Bull Bragantino",0,"07/29/2026 19:28",https://www.instagram.com/p/DbZngH2mg6d/,"Imagem do Instagram",,Total,15068,7392,162,3,0,4,0
18061487300758855,17841400074692954,paulistao,Paulistão,"NAS OITAVASSSS!!! 🤩🔥
O Massa Bruta venceu o Sporting Cristal e está nas oitavas de final da Sul-Americana! #PaulistasEmCampo",0,"07/29/2026 19:27",https://www.instagram.com/p/DbZnUvYmmUg/,"Imagem do Instagram",,Total,23704,13239,238,4,0,0,3
17947716960036202,17841400074692954,paulistao,Paulistão,"VITÓRIA DO LEÃO! 🦁
O Mirassol venceu o Remo pelo Brasileirão! #PaulistasEmCampo",0,"07/29/2026 17:31",https://www.instagram.com/p/DbZaEAKE0F_/,"Imagem do Instagram",,Total,14633,8500,266,27,1,5,2
18362305189210119,17841429857362439,paulistaof,"Paulistão F","O gol das Palestrinas em detalhes... 🤩🐷 #PaulistãoFPetrobras #Derby",46,"07/29/2026 16:32",https://www.instagram.com/reel/DbZTNnugGrR/,"Reel do Instagram",,Total,41382,30827,2339,86,16,44,14
18114472408937132,17841429857362439,paulistaof,"Paulistão F","QUE INTIMIDADE! 
Que qualidade da @dudaasampaio10 no domínio, hein?!
#PaulistãoFPetrobras",10,"07/29/2026 14:49",https://www.instagram.com/reel/DbZHMvXPd7j/,"Reel do Instagram",,Total,122350,70598,2466,23,10,54,31
18013039052866412,17841400074692954,paulistao,Paulistão,"DUAS JÁ FORAM! ✅
Vem conferir a classificação 100% atualizada da #CopaPaulistaRivalo!",0,"07/29/2026 12:30",https://www.instagram.com/p/DbYyfUQCSUA/,"Carrossel do Instagram",,Total,28315,12091,416,13,0,12,5
18076954475697891,17841400074692954,paulistao,Paulistão,"VISITANTE INDESEJADO!🐷💚
O líder do Brasileirão é a pedra no sapato dos mandantes!
#Palmeiras #FutebolPaulista #PaulistasEmCampo",0,"07/29/2026 11:30",https://www.instagram.com/p/DbYrmtkkyoh/,"Imagem do Instagram",,Total,23704,13770,430,5,0,14,2
17898185877475160,17841400074692954,paulistao,Paulistão,"NÃO SABEM O QUE É PERDER!
Comercial, Juventus e São José só tiveram vitórias até aqui na Copa Paulista Rivalo!
#CopaPaulistaRivalo",0,"07/29/2026 09:59",https://www.instagram.com/p/DbYmW3jlIhZ/,"Imagem do Instagram",,Total,13657,7673,302,27,1,17,3
18080483183488073,17841400074692954,paulistao,Paulistão,"PRECISANDO DE GOL, É COM ELES MESMO! ⚽🔥
Calleri e Gabigol lideram o ranking de artilheiros paulistas no @brasileirao desse ano!
#PaulistasEmCampo #SãoPaulo #Santos",0,"07/29/2026 08:00",https://www.instagram.com/p/DbYTlUYmr41/,"Imagem do Instagram",,Total,131268,69427,6677,830,4,111,111
17901582456500214,17841400074692954,paulistao,Paulistão,"SÓ JOGÃO NESSA QUARTA-FEIRA!
Mirassol e Palmeiras buscam os três pontos no @brasileirao, enquanto o Red Bull Bragantino só quer a classificação na @sudamericanabr!
#PaulistasEmCampo",0,"07/29/2026 06:00",https://www.instagram.com/p/DbYF2GFFucW/,"Imagem do Instagram",,Total,11232,6544,193,7,0,0,3
17969726165932713,17841429857362439,paulistaof,"Paulistão F","UM NOVO DIA, UM NOVO DERBY!
O Superclássico F @petrobras vai ser digno de cinema nesta quarta-feira 🤩
#PaulistãoFPetrobras2026",0,"07/28/2026 20:05",https://www.instagram.com/p/DbXBvyAmhfw/,"Imagem do Instagram",,Total,46638,26077,1434,88,4,16,21
18116441437900001,17841400074692954,paulistao,Paulistão,"Os resultados dessa terça-feira!
#PaulistasEmCampo",0,"07/28/2026 19:59",https://www.instagram.com/p/DbXGRyQDL_L/,"Imagem do Instagram",,Total,16970,10243,191,2,0,0,2
18204600916317067,17841400074692954,paulistao,Paulistão,"O Botafogo sofreu a derrota no @brasileiraob.
#PaulistasEmCampo
📷Davi Rocha/Agência Botafogo/Divulgação",0,"07/28/2026 19:52",https://www.instagram.com/p/DbXFd4elbxq/,"Imagem do Instagram",,Total,14615,7731,110,1,0,0,1
18334714750265711,17841400074692954,paulistao,Paulistão,"VITÓRIA E CLASSIFICAÇÃO!
O Santos vence o jogo de volta contra a Universidad Central e se classifica para a próxima fase da @sudamericanabr!
#PaulistasEmCampo
📷Raul Baretta/Santos FC",0,"07/28/2026 19:26",https://www.instagram.com/p/DbXCcFkjBnk/,"Imagem do Instagram",,Total,43306,25215,1171,64,3,8,9
17878918587505767,17841400074692954,paulistao,Paulistão,"PEIXÃO CLASSIFICADO! ⚪⚫
O Santos está garantido nas oitavas de final da @sudamericanabr!
#PaulistasEmCampo",0,"07/28/2026 19:25",https://www.instagram.com/p/DbXCW_-FqPh/,"Imagem do Instagram",,Total,30022,16173,691,34,0,5,4
18460420837117104,17841400074692954,paulistao,Paulistão,"A Ponte Preta empata com o Athletic e soma um ponto no @brasileiraob!
#PaulistasEmCampo
📷Marcos Ribolli/Ponte Preta",0,"07/28/2026 17:32",https://www.instagram.com/p/DbW1bexFbo_/,"Imagem do Instagram",,Total,23662,12330,250,7,0,16,1
18144051103533998,17841400074692954,paulistao,Paulistão,"SE LIGA NESSES NÚMEROS! ✋🤪🤚
O Neymar tá voando no @brasileirao desse ano!
#PaulistasEmCampo #Santos",0,"07/28/2026 13:45",https://www.instagram.com/p/DbWbaHLnaCG/,"Imagem do Instagram",,Total,117929,66172,4128,136,1,103,50
18572521531069177,17841400074692954,paulistao,Paulistão,"É ELE ALI? 👀🐷
Chad “Ochocinco” Johnson apareceu no treino do Panthers com a camisa do Palmeiras campeão da Libertadores em 1999. Essa é relíquia, hein, torcedor?
#PaulistasEmCampo
📷 Reprodução/X",0,"07/28/2026 12:32",https://www.instagram.com/p/DbWTHbeiVte/,"Carrossel do Instagram",,Total,78894,38328,5046,167,4,69,52
18034576868820796,17841400074692954,paulistao,Paulistão,"MINHAS EQUIPES LUTANDO PELO TOPO!
Assim está a classificação da #SérieC ao fim da 15ª rodada!
#PaulistasEmCampo",0,"07/28/2026 11:00",https://www.instagram.com/p/DbWGzsAFtS2/,"Imagem do Instagram",,Total,50205,27324,1141,17,7,17,11
18197755849373206,17841400074692954,paulistao,Paulistão,"DOSE TRIPLA!
Ponte Preta e Botafogo vão a campo pelo @brasileiraob, enquanto o Peixão vai em busca da classificação na @sudamericanabr.
#PaulistasEmCampo",0,"07/28/2026 06:00",https://www.instagram.com/p/DbVhFC_GuG8/,"Imagem do Instagram",,Total,16906,9052,218,22,1,0,2
18469035160115223,17841400074692954,paulistao,Paulistão,"MAIS TRÊS!
O Guarani leva a melhor no Duelo Paulista da @cbfseriec.
#PaulistasEmCampo 
📷 Raphael Silvestre/GuaraniFC",0,"07/27/2026 17:55",https://www.instagram.com/p/DbUTPydE7U2/,"Imagem do Instagram",,Total,34273,18289,581,16,6,12,4
17998502421004332,17841400074692954,paulistao,Paulistão,"FIM DE PAPO!
A segunda rodada da Copa Paulista Rivalo foi movimentada.
#CopaPaulistaRivalo",0,"07/27/2026 17:45",https://www.instagram.com/p/DbUSDdkEhVa/,"Imagem do Instagram",,Total,23155,12639,337,9,1,0,5
18154039951473014,17841400074692954,paulistao,Paulistão,"MAIS TRÊS PARA O CARCARÁ!
O Grêmio Prudente encerra a segunda rodada da #CopaPaulistaRivalo com vitória.
📷 Murilo Aguilar",0,"07/27/2026 17:41",https://www.instagram.com/p/DbURrSVj8Vx/,"Imagem do Instagram",,Total,34779,19734,388,20,5,4,3
18093358286379863,17841400074692954,paulistao,Paulistão,"VERDÃO SEGUE NA LIDERANÇA!
Vem ver como está a classificação do @brasileirao depois da última rodada!
#PaulistasEmCampo",0,"07/27/2026 14:52",https://www.instagram.com/p/DbT-OicFsT_/,"Imagem do Instagram",,Total,243447,130542,7849,68,27,27,64
