"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18469100569110912,17841454473375442,ulissescostatv,"ULISSES TV","VITÓRIA ALVIVERDE! 🐷💚

Pela 3ª rodada do Paulistão Sub-20, o Palmeiras bateu o Osasco Audax, por 2 a 0, com gols de Juan Gabriel e João Mendonça. 

O Verdão vai em busca do 13º título do Paulista Sub-20 – a última conquista veio em 2023, quando as Crias da Academia venceram os dois jogos contra o São Paulo na final. 

🎙️ @brunoscaciotti 

#palmeiras #verdão #criasdaacademia #paulistão #ulissestv",158,"06/25/2026 13:49",https://www.instagram.com/reel/DaBdmS9sh2R/,"Reel do Instagram","Ocorreu um erro ao computar métricas.",-,,,,,,,
18432752269121638,17841426196827383,copinha,Copinha,"A COPINHA RESOLVE 😎
Vem conferir cada cria que participou dos dois gols que classificaram o Brasil para as oitavas de final da Copa do Mundo. 

Revelado pelo Flamengo em 2017, Vini Jr começou a jogada e enxergou o Gabriel Magalhães.

Magalhães, que jogou pelo Avaí em 2016, deu aquela assistência certeira para o Casemiro. 

O camisa 5 da Seleção Brasileira disputou duas edições pelo São Paulo, 2009 e 2010, sendo campeão na última! 

MADE IN COTIA! 
O autor do primeiro gol 🔥

OI, BOA NOITE!
O jogador que disputou a Copinha mais recentemente, Rayan começou a jogada do segundo gol, e tocou para Bruno Guimarães. 

Presente em três edições de Copinha pelo Audax, Bruno Guimarães deu um passe incrível para Gabriel Martinelli! 

O astro do Arsenal, revelado no interior do Estado pelo Ituano, saiu da marcação e decretou a virada brasileira! 

VIVA AS CRIAS DA COPINHA! 😍🤩",0,"06/30/2026 12:08",https://www.instagram.com/p/DaOKEFhGlVI/,"Carrossel do Instagram",,Total,559826,213577,17200,155,7,33,139
18101911013157010,17841426196827383,copinha,Copinha,"Da Copinha para o mundo! 🇧🇷
#SeleçãoBrasileira #CopaDoMundo
📷@fifaworldcup",0,"06/29/2026 13:32",https://www.instagram.com/p/DaLu2r4n5fd/,"Carrossel do Instagram",,Total,107354,39860,4613,28,6,5,11
18116178832869228,17841426196827383,copinha,Copinha,"Vamos aos resultados da oitava rodada do Paulista Sub-14!
#PaulistaSub14",0,"06/28/2026 15:53",https://www.instagram.com/p/DaJaN4QH3N_/,"Carrossel do Instagram",,Total,86108,31127,1454,53,7,6,8
18108632977991373,17841426196827383,copinha,Copinha,"Grandes duelos marcaram a oitava rodada do Paulista Sub-13!
#PaulistaSub13",0,"06/28/2026 14:47",https://www.instagram.com/p/DaJSp74n7ie/,"Carrossel do Instagram",,Total,84301,30526,1135,109,14,6,8
18083433827556789,17841426196827383,copinha,Copinha,"Hora de ver o que rolou de melhor na rodada do Paulista Sub-11!
#PaulistaSub11",0,"06/28/2026 14:37",https://www.instagram.com/p/DaJRktPn0XZ/,"Carrossel do Instagram",,Total,48555,17531,511,31,8,7,2
17958071670156305,17841426196827383,copinha,Copinha,"Oitava rodada do Paulista Sub-12 concluída com sucesso!
#PaulistaSub12",0,"06/28/2026 14:34",https://www.instagram.com/p/DaJRNUFn_BT/,"Carrossel do Instagram",,Total,47964,19865,406,44,8,0,3
17984214569847951,17841426196827383,copinha,Copinha,"Mais uma rodada completa no Paulista Sub-20 Série A!
#PaulistaSub20SérieA",0,"06/28/2026 14:29",https://www.instagram.com/p/DaJQpIGn0F5/,"Carrossel do Instagram",,Total,71493,26658,1190,18,2,1,5
17995348418972156,17841426196827383,copinha,Copinha,"RODADAS CHEIAS NESSE DOMINGO!
Vem conferir os confrontos da 8ª rodada do #PaulistaSub13 e do #PaulistaSub14!",0,"06/28/2026 04:00",https://www.instagram.com/p/DaIDhDKGQnv/,"Carrossel do Instagram",,Total,62567,24032,684,53,3,2,7
18105047042090585,17841426196827383,copinha,Copinha,"Se liga nos resultados da nona rodada do Paulista Sub-15! 
#PaulistaSub15",0,"06/27/2026 16:07",https://www.instagram.com/p/DaG3F-5HwTC/,"Carrossel do Instagram",,Total,87043,31151,1462,47,8,0,4
