"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18101716580206800,17841415746844707,meninosdaaguia,"Base do São José Esporte Clube","DO MEIO-CAMPO! 🤯⚽

Gregório viu o goleiro adiantado e não pensou duas vezes: mandou do meio-campo para marcar um golaço pelos #MeninosDaÁguia! 🦅🔥",33,"08/12/2026 14:28",https://www.instagram.com/reel/Db9IOQvQJsX/,"Reel do Instagram","Ocorreu um erro ao computar métricas.",-,,,,,,,
18111329629980139,17841426196827383,copinha,Copinha,"OLHA AÍ QUEM CHEGOU!
A 13ª rodada do #PaulistaSub15 e do #PaulistaSub17 tá na área 🤩",0,"08/01/2026 02:00",https://www.instagram.com/p/DbfY0F4k3VY/,"Carrossel do Instagram",,Total,100756,36977,1096,50,6,0,8
18026763452844787,17841426196827383,copinha,Copinha,"CHEGOU MAIS UMA!
A nona rodada do Paulista Sub-20 Série B vai começar nesta sexta-feira 🤩
#PaulistaSub20SérieB",0,"07/31/2026 04:00",https://www.instagram.com/p/DbdBt4VCfEl/,"Imagem do Instagram",,Total,68455,32051,828,29,16,1,10
18208928971360001,17841426196827383,copinha,Copinha,"Foi assim que terminou mais uma rodada do Paulista Sub-14!
#PaulistaSub14",0,"08/16/2026 13:42",https://www.instagram.com/p/DcHWKCnn90R/,"Carrossel do Instagram",,Total,86581,30299,1335,189,14,17,6
18118666291915144,17841426196827383,copinha,Copinha,"Vamos aos resultados da 12ª rodada do Paulista Sub-13!
#PaulistaSub13",0,"08/16/2026 12:22",https://www.instagram.com/p/DcHNG_znxr8/,"Carrossel do Instagram",,Total,79139,28567,1024,62,8,1,2
17963665680158396,17841426196827383,copinha,Copinha,"Se liga nos resultados dos jogos do Paulista Sub-17 que rolaram ao longo do fim de semana.
#PaulistaSUb17",0,"08/16/2026 09:09",https://www.instagram.com/p/DcG3AXJH_Yf/,"Carrossel do Instagram",,Total,83019,28508,1571,39,8,3,9
18113150948063854,17841426196827383,copinha,Copinha,"Fim de semana agitado no Paulista Sub-15!
#PaulistaSub15",0,"08/16/2026 09:09",https://www.instagram.com/p/DcG27ceHwkj/,"Carrossel do Instagram",,Total,91893,31949,1456,48,9,0,7
18081866402289461,17841426196827383,copinha,Copinha,"A ida da segunda fase já foi. Se liga nos resultados.
#PaulistaSub20SérieA",0,"08/15/2026 14:40",https://www.instagram.com/p/DcE4GPRH3VG/,"Imagem do Instagram",,Total,68118,31106,848,13,6,0,9
18622247575051724,17841426196827383,copinha,Copinha,"BORA PARA A SEGUNDA FASE!
24 jogos para começar mais uma etapa do #PaulistaSub17 🤩",0,"08/15/2026 03:30",https://www.instagram.com/p/DcDmNSDG8xv/,"Carrossel do Instagram",,Total,79641,29335,1148,29,6,4,6
18055285553562702,17841426196827383,copinha,Copinha,"FIM DE SEMANA CHEIO!
Esses são os duelos da 12ª rodada do Paulista Sub-13 e do Paulista Sub-14!
#PaulistaSub13 #PaulistaSub14",0,"08/15/2026 03:00",https://www.instagram.com/p/DcDi4ndIKwK/,"Carrossel do Instagram",,Total,128907,52260,1101,223,11,1,7
