"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Alcance,Curtidas,Compartilhamentos,Seguimentos,Comentários,Salvamentos
18051960929759297,17841405688144679,rivalobrasil,"Rivalo Brasil","QUANTOS VOCÊ MARCOU, TORCEDOR PAULISTA? 🤣

Já avisamos: quanto mais checks, maior o nível de sofrimento. Quem marcar todos, pode pedir música na arquibancada. 🔥

#Rivalo #NadaGanhadaEmocao #JoguecomResponsabilidade +18",0,"05/31/2026 13:54",https://www.instagram.com/p/DZBGTGxyTtG/,"Imagem do Instagram","Ocorreu um erro ao computar métricas.",-,,,,,,,
18093817327966086,17841405688144679,rivalobrasil,"Rivalo Brasil","[ENCERRADO]

A CAMISA E A BOLA DO CAMPEÃO @penapolenseoficial PODE SER SUA! 🏆

A Rivalo viveu cada jogo do Paulistão com vocês. Agora é hora de retribuir. Você e um amigo podem levar a CAMISA E A BOLA OFICIAL DA VITÓRIA DO PANTERA! 🔥

Pra conseguir é super fácil:
1️⃣ Comente “Eu Quero”
2️⃣ No mesmo comentário, marque um amigo até às 16h do dia 29/05
3️⃣ Pronto! O resultado do sorteio sai no dia 29/05 às 18h ⏰

Zero complicação e pras regras não tem mistério:
⚠️ Seguir a @rivalobrasil e o @penapolenseoficial no Instagram no momento do sorteio;
⚠️ Não pode marcar perfis de marca, somente de pessoas reais;
⚠️ Comentar exatamente a frase mencionada;
⚠️ Não nos responsabilizamos pela logística;
⚠️ Edição de comentários não é permitida;
🔞 Proibido para menores de 18 anos.

NÃO VAI PERDER ESSA, NÉ?! ⚽

#Rivalo #NadaGanhadaEmocao #JoguecomResponsabilidade 18+",0,"05/28/2026 13:29",https://www.instagram.com/p/DY5U-F3SiHS/,"Imagem do Instagram","Ocorreu um erro ao computar métricas.",-,,,,,,,
17890422978477799,17841405688144679,rivalobrasil,"Rivalo Brasil","ESSES CRAQUES RIVALO MERECEM UM LUGAR NA COPA? 🤔

A gente viu de tudo nos campeonatos esse ano: gols, viradas e craques brilhando em cada divisão. Alguns nomes que rodaram o Paulistão A2, A3 e A4 Rivalo estavam num nível absurdo. 🔥

Se você fosse o Mister, quem levaria pra Copa do Mundo? Manda o nome aqui embaixo ⬇️

#Rivalo #NadaGanhadaEmocao #JoguecomResponsabilidade +18",0,"05/26/2026 08:00",https://www.instagram.com/p/DYzl7ZHlmK5/,"Carrossel do Instagram","Ocorreu um erro ao computar métricas.",-,,,,,,,
18059497838492080,17841448142257491,cirilodafiel,"Pedro Ivo","Matheus Bidu comenta sobre a partida.",19,"05/24/2026 17:48",https://www.instagram.com/reel/DYvfgIPNrWt/,"Reel do Instagram","Ocorreu um erro ao computar métricas.",-,,,,,,,
17880615207439753,17841400074692954,paulistao,Paulistão,"Com direito a vitória do Palmeiras no Maracanã, Guarani líder da Série C e Portuguesa classificada para a próxima fase da Série D, tivemos um sabadão repleto de emoção com os #PaulistasEmCampo!
#FutebolPaulista",0,"05/23/2026 19:11",https://www.instagram.com/p/DYtEVGcDLQZ/,"Imagem do Instagram",,Total,63730,39428,1108,11,2,18,13
18093382082589532,17841400074692954,paulistao,Paulistão,"MAIS LÍD3R DO QU3 NUNCA!
Palmeiras vence Flamengo no Maracanã e abre sete pontos de vantagem pra equipe carioca!
#PaulistasEmCampo
📷Cesar Greco/Palmeiras",0,"05/23/2026 19:04",https://www.instagram.com/p/DYtDckADzpY/,"Imagem do Instagram",,Total,174906,111550,8233,1397,10,128,76
18081731156438531,17841400074692954,paulistao,Paulistão,"Mais um domingo de muito #FutebolPaulista finalizado!
#PaulistasEmCampo",0,"05/31/2026 18:52",https://www.instagram.com/p/DZBobEVCdUY/,"Imagem do Instagram",,Total,44780,26074,996,9,0,14,14
18132690457569144,17841400074692954,paulistao,Paulistão,"São Paulo sofre gol no fim e acaba sendo superado pelo Remo.
#PaulistasEmCampo
📷Rubens Chiri/Arquivo/São Paulo",0,"05/31/2026 18:47",https://www.instagram.com/p/DZBn5eZFEv3/,"Imagem do Instagram",,Total,50705,28405,1630,907,0,100,16
17856665679661535,17841400074692954,paulistao,Paulistão,"BRASIL-SIL-SIL! 🇧🇷
No primeiro amistoso pré-Copa do Mundo, a Seleção goleou o Panamá no Maracanã!
#SeleçãoBrasileira
📷Divulgação/CBF",0,"05/31/2026 16:33",https://www.instagram.com/p/DZBYjzDDnV9/,"Imagem do Instagram",,Total,79928,46316,2356,246,1,32,19
18010675595910128,17841400074692954,paulistao,Paulistão,"RODADA 7! ✅
Foi assim que terminou mais um fim de semana de Paulista Sub-23 Segunda Divisão!
#FutebolPaulista",0,"05/31/2026 14:56",https://www.instagram.com/p/DZBNa1KEq_m/,"Imagem do Instagram",,Total,26166,14883,332,20,8,3,7
