"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Seguimentos,Alcance
18087233978249007,17841400074692954,paulistao,Paulistão,"NO CLIMA DO MUNDIAL!
O FANATICÃO JÁ ESTÁ ACOMPANHANDO A ABERTURA DA COPA DO MUNDO ⚽
#CopaDoMundo",0,"06/11/2026 11:40",https://www.instagram.com/p/DZdLuegEiry/,"Imagem do Instagram",,Total,12793,158,5,0,1,0,6868
18156316648466187,17841400074692954,paulistao,Paulistão,"A PRIMEIRA RODADA DA COPA TÁ CHEIA DE PAULISTAS! 
🌎 Paraguai, Brasil, Holanda, Uruguai, Argentina e Colômbia tem jogadores que atuam no Futebol Paulista em seus elencos. 
👀 Vem ver quais serão os compromissos dessas seleções na primeira rodada!
#PaulistasEmCampo #CopaDoMundo",0,"06/11/2026 14:00",https://www.instagram.com/p/DZdWnztjyjM/,"Imagem do Instagram",,Total,103479,3022,103,8,83,4,50711
17869093329543695,17841400074692954,paulistao,Paulistão,"""EM 93, NÓS GANHAMOS O PAULISTÃO..."" 🐷🌟
A goleada sobre o Corinthians garantiu o 19º título paulista de sua história!
#BaúDoPaulistão",0,"06/12/2026 05:00",https://www.instagram.com/p/DZe9ncEH9kW/,"Imagem do Instagram",,Total,132963,5458,483,214,90,4,66702
17884450266595313,17841408376344663,libertadoresbr,"CONMEBOL Libertadores","🇵🇾💚 ¡El Capitán! Ídolo do @Palmeiras, um histórico que carrega a #GloriaEterna.

🔙 CONMEBOL #Libertadores 🔜 @FIFAWorldCup",0,"06/12/2026 09:28",https://www.instagram.com/p/DZfhciCjj8t/,"Carrossel do Instagram",,Total,177726,7853,131,173,0,,
17948239068195609,17841426196827383,copinha,Copinha,"DA COPINHA PARA A COPA DO MUNDO!
Você conhece os jogadores que começaram a carreira na @copinha e já jogaram na Copa do Mundo por outras seleções? Vem conferir a lista 🤩
#CopaDoMundo",0,"06/12/2026 10:33",https://www.instagram.com/p/DZfo9PiEUkL/,"Carrossel do Instagram",,Total,416035,11196,330,62,364,17,184314
18081100109361918,17841400074692954,paulistao,Paulistão,"𝑬𝑳 𝑫𝑬𝑩𝑼𝑻 𝑫𝑬 𝑴𝑰𝑺 𝑷𝑨𝑹𝑨𝑮𝑼𝑨𝒀𝑶𝑺 🌟🇵🇾
Os cinco convocados do Futebol Paulista para a Seleção Paraguaia enfrentam seu primeiro desafio na Copa do Mundo nessa sexta-feira!
#PaulistasEmCampo #CopaDoMundo #Paraguai",0,"06/12/2026 11:32",https://www.instagram.com/p/DZfvoFIj90S/,"Imagem do Instagram",,Total,50906,1375,63,5,23,8,29038
18442377145190113,17841400074692954,paulistao,Paulistão,"FELIZ DIA DOS NAMORADOS! 💌
Aproveita para mandar um recado dos nossos jogadores do #FutebolPaulista para o seu grande amor! 🫶
#DiaDosNamorados",0,"06/12/2026 13:05",https://www.instagram.com/p/DZf6VKEE21m/,"Carrossel do Instagram",,Total,277228,9452,1342,45,240,10,87898
18087151070382579,17841400074692954,paulistao,Paulistão,"FPF NO RITMO DA COPA DO MUNDO! 🤩🇧🇷
A fachada do Edifício Pelé está nas cores da Seleção Brasileira para entrar no clima da estreia na competição!
#CopaDoMundo #FPF",18,"06/12/2026 14:53",https://www.instagram.com/reel/DZgGFN_J9cJ/,"Reel do Instagram",,Total,28709,789,21,10,16,1,19011
18345150934247532,17841400074692954,paulistao,Paulistão,"BRASIL, MEU BRASIL BRASILEIRO! 🇧🇷
Chegou o grande momento da estreia da Seleção Brasileira na Copa do Mundo 2026! 
#PaulistasEmCampo #CopaDoMundo #SeleçãoBrasileira",0,"06/12/2026 20:05",https://www.instagram.com/p/DZglQg6Eukg/,"Imagem do Instagram",,Total,118302,4578,372,29,63,14,67413
17979184094864899,17841400074692954,paulistao,Paulistão,"Antes do jogo da Seleção Brasileira, vem assistir aos confrontos desse sábado do Paulista Sub-23 Segunda Divisão!
#PaulistaSub23SegundaDivisão",0,"06/13/2026 04:00",https://www.instagram.com/p/DZhbiu1k_pR/,"Imagem do Instagram",,Total,14461,137,10,1,0,1,8578
18076224407288380,17841400074692954,paulistao,Paulistão,"É DIA DE BRASIL E MARROCOS!
A caminhada da Seleção Brasileira começa contra os marroquinos, se liga nos detalhes desse confronto!
#PaulistasEmCampo #CopaDoMundo",0,"06/13/2026 05:00",https://www.instagram.com/p/DZhiggWlGgg/,"Carrossel do Instagram",,Total,143954,2563,31,15,23,0,42962
17880205812604704,17841400074692954,paulistao,Paulistão,"LÍDER DA SÉRIE C EM CAMPO! 🏹🔥
O Bugre vai em busca da vitória para manter a primeira posição da tabela!
#PaulistasEmCampo",0,"06/13/2026 06:00",https://www.instagram.com/p/DZhpRZEkeTX/,"Imagem do Instagram",,Total,16152,173,2,4,3,0,9492
18135219064519296,17841400074692954,paulistao,Paulistão,"HOJE É DIA DE BRASIIIIIL! 🇧🇷🌟
O Fanaticão já tá mais que no clima da Copa e pronto para torcer pela Seleção Brasileira!
#SeleçãoBrasileira #CopaDoMundo",0,"06/13/2026 07:00",https://www.instagram.com/p/DZhwI9Aktsu/,"Imagem do Instagram",,Total,13320,151,12,0,4,1,7555
18023801993832918,17841400074692954,paulistao,Paulistão,"TRÊS PONTOS PRO BUGRE! 🏹
Guarani marca no fim e garante a vitória pra cima do Caxias!
#PaulistasEmCampo
📷Raphael Silvestre/Guarani",0,"06/13/2026 09:06",https://www.instagram.com/p/DZiDycAHzz0/,"Imagem do Instagram",,Total,25389,626,7,17,3,1,14258
18092053475614949,17841400074692954,paulistao,Paulistão,"Esse foi o sábado de Paulista Sub-23 Segunda Divisão!
#FutebolPaulista",0,"06/13/2026 15:28",https://www.instagram.com/p/DZivhM6n-gy/,"Imagem do Instagram",,Total,30320,329,16,9,5,4,16941
18080548421353603,17841400074692954,paulistao,Paulistão,"PRIMEIRO PONTO!
Brasil sai atrás, mas busca o empate contra Marrocos.
#PaulistasEmCampo #CopaDoMundo #SeleçãoBrasileira
📷Divulgação/Équipe du Maroc",0,"06/13/2026 17:20",https://www.instagram.com/p/DZi8SKcH54-/,"Imagem do Instagram",,Total,68699,1305,118,38,11,1,38540
18117503320868716,17841400074692954,paulistao,Paulistão,"FECHANDO A NONA RODADA!
São seis jogos nesse domingo no #PaulistaSub23SegundaDivisão!",0,"06/14/2026 04:00",https://www.instagram.com/p/DZkAVYaDnVx/,"Imagem do Instagram",,Total,15739,112,4,0,0,0,9369
18115556896859213,17841400074692954,paulistao,Paulistão,"DOMINGOU COM MUITA SÉRIE B E C!
Tem muita coisa em jogo na rodada desse domingo no @brasileiraob e na @cbfseriec!
#PaulistasEmCampo",0,"06/14/2026 06:00",https://www.instagram.com/p/DZkOEVCGT_g/,"Imagem do Instagram",,Total,18587,191,4,0,4,0,11433
18156241006481967,17841400074692954,paulistao,Paulistão,"HOJE É DIA DO CHEFE ENTRAR EM CAMPO NA COPA! 👉😤👈
Memphis Depay faz sua estreia na Copa do Mundo 2026 pela Holanda nesse domingo! 🇳🇱
#PaulistasEmCampo #CopaDoMundo",0,"06/14/2026 07:00",https://www.instagram.com/p/DZkU7suklTJ/,"Imagem do Instagram",,Total,86152,3933,161,36,48,6,48193
18050394095555149,17841408376344663,libertadoresbr,"CONMEBOL Libertadores","🇳🇱😂 Neerlandês com sotaque de @Corinthians 🖤 Eles estão ligados no @memphisdepay 😍

🏆 CONMEBOL #Libertadores 🫶 @FIFAWorldCup",75,"06/14/2026 08:12",https://www.instagram.com/reel/DZkiHfAJXq7/,"Reel do Instagram",,Total,129775,7692,155,86,0,,
