Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
ENTRANDO EM CAMPO COM O CRUZEIRO! 🦊🏆 Já imaginou ser campeão da Copinha Sil e entrar no gramado depois do apito final? 🌟⚽️ O @niicopontes te leva para dentro das quatro linhas da Mercado Livre Arena Pacaembu 👀😮‍💨 #CopinhaSil2026 #Cruzeiro #POV,https://www.tiktok.com/@copinha/video/7599795294003268871,2026/01/26 22:07:16,31104,2344,8,11,82
"O TRADICIONAL BANHO DE GELO NO PROFESSOR! 🦊🧊 Não tem como escapar: ganhou a taça, o banho de gelo vem junto!  #CopinhaSil2026 #Cruzeiro ",https://www.tiktok.com/@copinha/video/7599448149605895432,2026/01/25 23:40:09,836469,56654,150,392,1337
Os detalhes da comemoração do capitão do Cruzeiro com o título da Copinha Sil!  #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7599425772637490452,2026/01/25 22:13:31,163492,20408,36,280,346
"🕶️🏆 Se é campeão, tem que usar o óculos da Copinha Sil!  #CopinhaSil2026 ",https://www.tiktok.com/@copinha/video/7599421338817711380,2026/01/25 21:56:14,599912,24904,30,201,350
"FALA, CAMPEÃO! MAIRON CESAR COM A PALAVRA! #CopinhaSil2026 ",https://www.tiktok.com/@copinha/video/7599417550664994069,2026/01/25 21:41:36,11052,378,13,5,10
"NÃO PODIA FALTAR O BANHO DE GELO NO MAIRON CESAR, TÉCNICO CAMPEÃO DA COPINHA SIL 2026!  #CopinhaSil2026 ",https://www.tiktok.com/@copinha/video/7599409010537876757,2026/01/25 21:08:27,44069,1676,3,12,21
Festa com a Nação Azul!  #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7599405593178180885,2026/01/25 20:55:08,10525,300,5,11,6
Hora da foto dos campeões!  #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7599404838954241300,2026/01/25 20:52:07,12608,665,3,21,22
"O Pedro Lourenço, presidente do Cruzeiro estava só alegria após o título da Copinha Sil 2026!  #CopinhaSil2026 ",https://www.tiktok.com/@copinha/video/7599401008887909653,2026/01/25 20:37:22,23074,900,16,17,23
"POR TODOS OS ÂNGULOS: O GOL DE WILLIAM, QUE ABRIU O CAMINHO PARA O TÍTULO DO CRUZEIRO!  #CopinhaSil2026 ",https://www.tiktok.com/@copinha/video/7599398754906574100,2026/01/25 20:28:39,38780,731,6,16,22
O GOL DO TÍTULO DO CRUZEIRO NA COPINHA SIL 2026! GUSTAVINHO É O NOME DELE!  #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7599396503202925845,2026/01/25 20:19:48,115884,8019,62,327,169
É A RAÇA CRUZEIRENSE!  #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7599392156691811604,2026/01/25 20:02:55,14416,547,3,2,12
O WILLIAM FOI NO TERCEIRO ANDAR PARA MARCAR O PRIMEIRO GOL DO CRUZEIRO NA FINAL DA COPINHA SIL!  #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7599389604206185749,2026/01/25 19:53:08,160638,8982,8,47,87
Deixa os campeões balançarem!!! 🤪🕺🏾🏆 #CopinhaSil,https://www.tiktok.com/@copinha/video/7599368943559707960,2026/01/25 18:35:02,778302,51756,297,1483,1138
ENTRANDO EM CAMPO COM O NICOLAS! 👀😮‍💨🦊 POV: Você é um jogador do Cruzeiro no momento do apito final da decisão da #CopinhaSil2026! ,https://www.tiktok.com/@copinha/video/7599358730458664199,2026/01/25 17:53:09,64501,4228,41,57,81
AH EU TÔ MALUCO!  A torcida do Cruzeiro fez a festa após o gol!  #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7599304280968940821,2026/01/25 14:21:56,33091,1253,13,22,19
A VOZ DA COPINHA SIL 2026 NA ÁREA! @mcguiguijr cantou antes da decisão! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7599302919808208139,2026/01/25 14:19:40,8676,231,1,2,0
PEGA O TUTORIAL! 🤪 Logo na entrada da Mercado Livre Arena Pacaembu já tem pessoas posicionadas pra vender nosso copo oficial! 🤩 Nas arquibancadas você também consegue encontrar! #CopinhaSil,https://www.tiktok.com/@copinha/video/7599303116164435212,2026/01/25 14:17:29,6326,74,2,0,1
A VOZ DA COPINHA SIL 2026 NA ÁREA!  MC Guigui Jr cantou antes da decisão!  #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7599303028306480405,2026/01/25 14:17:04,34273,933,16,5,13
A molecada do Cruzeiro chegou curtindo um pagodinho!  #CopinhaSil2026 ,https://www.tiktok.com/@copinha/video/7599283606732786964,2026/01/25 13:01:42,9260,205,8,1,5
TODOS OS DETALHES! 🇾🇪 Se liga no gol do Isac na semifinal da #CopinhaSil! 😮‍💨 Será que ele vem inspirado pra grande final? 👀,https://www.tiktok.com/@copinha/video/7599106770413440312,2026/01/25 01:35:33,12919,497,1,3,4
☑️ DECISIVO NA FINAL DE 2025 ⏳ DECISIVO NA FINAL DE 2026... O Paulinho brilhou na #CopinhaSil mais uma vez! Será que vem mais na grande decisão? 🇾🇪🔥,https://www.tiktok.com/@copinha/video/7599052753104604472,2026/01/24 22:05:49,26999,1688,5,4,21
"FALA, PROFESSOR! Depois de levantar o caneco em 2025, Allan Barcellos comentou sobre a possibilidade de conquistar o bicampeonato da Copinha Sil. #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7599035900613446924,2026/01/24 21:00:24,9168,537,6,3,4
TOP TRÊS! Todo jogo de Copinha Sil é uma decisão e o mas o Mairon César falou os três que mais marcaram o treinador este ano. #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7599028170636971275,2026/01/24 20:30:24,7621,360,6,0,8
"VOZ DA EXPERIÊNCIA! Com uma decisão de Copinha Sil no currículo, Luis Fernando quer a taça em 2026! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7599012699795672331,2026/01/24 19:30:23,7868,386,3,1,5
"""MINHA FAMÍLIA""! O Allan Barcellos tá em casa quando se fala de São Paulo #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7599004970247048504,2026/01/24 19:00:24,14455,1315,22,13,35
"É DE FAMÍLIA! Em sua segunda final de Copinha Sil Mairon César falou um pouco sobre seus treinadores de referencia, sendo que um é pra lá de especial. #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7598997249506495800,2026/01/24 18:30:26,39699,2298,33,22,50
"CONHECE O CAMINHO! Campeão no ano passado, Paulinho falou um pouco de como é estar em sua segunda final de Copinha Sil seguida. #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7598989511506332939,2026/01/24 18:00:23,25927,2500,12,14,38
"UM PÉ LÁ, OUTRO CÁ! Capitão do Cruzeiro na Copinha Sil, Luis Fernando falou sobre a experiência de jogar o profissional na disputa do Campeonato Mineiro e voltar para jogar a decisão deste domingo. #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7598971754735766795,2026/01/24 16:51:27,51048,4047,15,23,69
QUE CATEGORIA! QUE GOLAÇO DE FALTA DO IGOR FELISBERTO! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7598664835261353272,2026/01/23 21:00:29,11901,750,6,8,12
PINTURA! O golaço de Igor Felisberto fechou a goleada do São Paulo na semifinal da Copinha Sil 2026! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7598380667105250571,2026/01/23 02:37:50,185921,19792,81,460,329
"NO DETALHE! O gol de Isac, do São Paulo, pelos olhares da Copinha Sil! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7598372685864832312,2026/01/23 02:06:49,116409,6712,26,88,72
"QUE GOLAÇO! Igor Felisberto cobra falta com muita categoria, no canto direito do goleiro, e transforma o placar pro Tricolor em goleada! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7598370495016242444,2026/01/23 01:58:21,20061,1461,10,28,6
VIROU GOLEADA! 🇾🇪 O Tricolor fez um golaço logo no comecinho do 2º tempo! #CopinhaSil,https://www.tiktok.com/@copinha/video/7598370444730846475,2026/01/23 01:58:13,45641,3038,12,36,34
MAIS UM DO TRICOLOR! 😮‍💨 Gustavo Santana faz o 3º no MorumBIS! #CopinhaSil,https://www.tiktok.com/@copinha/video/7598361559248686347,2026/01/23 01:23:39,15758,777,7,17,7
"IMPARÁVEL, TRICOLOR! Agora foi a vez de Gustavo Santana guardar o dele! 3 a 1 para o São Paulo neste primeiro tempo! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7598361361017507084,2026/01/23 01:22:53,144298,6540,53,84,78
O TRICOLOR TÁ COM TUDO! Isac aparece por trás da marcação do Ibrachina e usa a cabeça para anotar o segundo do São Paulo no confronto! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7598356221208333624,2026/01/23 01:02:59,24360,990,8,25,14
"TÁ NA REDE! Logo no comecinho do jogo, Paulinho anota o primeiro do São Paulo na partida! #CopinhaSil2026",https://www.tiktok.com/@copinha/video/7598353452900650296,2026/01/23 00:52:15,32215,1528,12,58,13
O clima da semifinal da #CopinhaSil tá como? 😎🔥,https://www.tiktok.com/@copinha/video/7598335904821939468,2026/01/22 23:44:10,114671,9630,31,93,147
DE OLHO NELA! 👀🦊 O Cruzeiro vai em busca do bicampeonato da Copinha Sil! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7598016343828385080,2026/01/22 03:04:02,37478,1586,28,144,41
O GOL DA VAGA! Murilo fez um cruzamento fechado na área e a bola foi direto para o fundo da rede! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7598014411487317260,2026/01/22 02:56:35,52415,2098,20,34,32
A BATIIIIIIIIIIIIDAAAA! Eduardo Pape acerta um chutaço de fora da área para empatar o jogo! Tem gol do Cabuloso! #CopinhaSil2026,https://www.tiktok.com/@copinha/video/7598008513293552908,2026/01/22 02:33:41,227102,23820,86,990,379
