Título do vídeo,Link para o vídeo,Hora da publicação,Visualizações do vídeo,Curtidas,Comentários,Compartilhamentos,Adicionar aos Favoritos
"PARCERIA RENOVADA!  A Federação Paulista de Futebol e a @Casas Bahia 🏠💙 anunciam a renovação, por mais dois anos, da parceria que consolidou, em 2026, um dos cases mais consistentes de inovação, conversão e mídia espontânea no esporte brasileiro. A renovação reforça a estratégia da marca de ir além da visibilidade e investir em ações capazes de conectar emoção, entretenimento e resultado de negócio. #PaulistãoCasasBahia #CasasBahia",https://www.tiktok.com/@paulistao/video/7647137421230034196,2026/06/03 11:58:59,1474,37,1,0,1
O CRAQUE DO PAULISTÃO CASAS BAHIA ESTÁ NA COPA DO MUNDO! Flaco López foi convocado por Lionel Scaloni e vai representar a Argentina no Mundial! #PaulistãoCasasBahia #PelasLentes,https://www.tiktok.com/@paulistao/video/7645073027452947719,2026/05/28 22:27:48,4727,167,3,4,2
"EMOCIONANTE!😍🥰 Imagina você achar que é só mais uma gravação e dar de cara com o seu ídolo? Foi isso que aconteceu com o Eduardo Conceição, atleta do Palmeiras, que conheceu o seu ídolo, Neymar Jr.! 🎥 @pumabrasil",https://www.tiktok.com/@paulistao/video/7645025875968232722,2026/05/28 19:24:48,2965,131,2,1,7
"DE VOLTA AO MUNDIAL! Em 2014, Memphis marcou esse gol na Copa do Mundo na Neo Química Arena. O homem tá on demais 🔙⚽ #CopaDoMundo #Memphis 🎥 @fifaworldcup",https://www.tiktok.com/@paulistao/video/7644658211164900626,2026/05/27 19:38:11,1670,76,3,0,3
PRA SALVAR O TIME NOS ACRÉSCIMOS! 🔥🧤 Lucas Ferreira foi decisivo pro Audax na 6ª rodada do #PaulistaSub23SegundaDivisão,https://www.tiktok.com/@paulistao/video/7643921748798229776,2026/05/25 20:00:21,55424,802,1,7,5
"O #TBT de hoje é do herói do Juventus! 🧤🔥 Há uma semana, o Passarelli fechou o gol pra garantir o título do Moleque Travesso no #PaulistãoA2Rivalo.",https://www.tiktok.com/@paulistao/video/7642360143241399570,2026/05/21 15:00:23,1712,26,2,0,3
"O REPRESENTANTE DO FUTEBOL PAULISTA NA SELEÇÃO BRASILEIRA! O príncipe da Vila voltou para o Peixão, jogou o Paulistão e garantiu sua vaga na Copa do Mundo! #Neymar #Paulistão",https://www.tiktok.com/@paulistao/video/7641708789829340437,2026/05/19 20:52:49,920,59,3,1,2
"DAVID BRAZ, O TIO ORGULHOSO DO CAIO VIDAL! 💪 Presença ilustre na festa de premiação, o zagueiro contou pra gente o sentimento de ver o sobrinho receber o prêmio de Revelação do #PaulistãoA4Rivalo.",https://www.tiktok.com/@paulistao/video/7640226360341974292,2026/05/15 21:00:24,5593,183,2,5,6
"É SOBRE VENCER PELA EQUIPE E PELA FAMÍLIA! Eleito o melhor técnico do #PaulistãoA2Rivalo, Thiago Carvalho abriu o coração pra agradecer o suporte do grupo do Juventus, da esposa e do filho na sua trajetória.",https://www.tiktok.com/@paulistao/video/7640210914129628436,2026/05/15 20:00:22,977,28,1,1,2
"DORIVAL ESTÁ DE VOLTA AO TRICOLOR! 🇾🇪 Campeão da Copa do Brasil de 2023 com o São Paulo, o técnico volta a vestir a camisa tricolor pela terceira vez! Expectativas altas, torcedor? 👀 #PaulistasEmCampo #DorivalJr #SãoPaulo 🎥@saopaulofc",https://www.tiktok.com/@paulistao/video/7640144850104388872,2026/05/15 15:43:54,1746,120,1,4,4
"OS TAKES DO TÍTULO! 🏆 A festa do Juventus, campeão do Paulistão A2 Rivalo 2026! #PaulistãoA2Rivalo",https://www.tiktok.com/@paulistao/video/7639804758668168456,2026/05/14 17:41:52,4037,173,2,2,9
A FESTA DO CAMPEÃO! 🏆 #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7639559193325767957,2026/05/14 01:50:24,3091,76,1,3,1
A DEFESA QUE VALEU O TÍTULO! 🧤🏆 Passarelli foi o herói do Juventus na final do #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7639557318954339600,2026/05/14 01:45:00,5381,59,1,2,1
UH PASSARELLI! Que noite do goleiro do Juventus! #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7639557254588517649,2026/05/14 01:44:46,4810,88,2,1,6
O SUPER JUVE PASSOU POR ARARAQUARA! 🔥 #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7639557238968847617,2026/05/14 01:43:58,1696,45,1,1,2
COMEMORA TORCIDA JUVENTINA! 🏆🇮🇹 O Juventus levanta a taça do #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7639557027194211602,2026/05/14 01:42:55,914,33,3,1,1
O GOL DO TÍTULO! Thomas Kayck apareceu por trás da marcação e assegurou a conquista do Paulistão A2 Rivalo 2026 para o Juventus! #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7639556842338962696,2026/05/14 01:42:18,1620,40,1,2,0
A EXPLOSÃO DO GOL DO TÍTULO DO JUVENTUS! Thomas Kayck nos acréscimos garantiu o troféu para o Moleque Travesso! #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7639546385179610388,2026/05/14 01:01:40,1725,48,1,1,2
FERROVIÁRIA COM A TAÇA NA MÃO!🔥 Albano cobrou curto e Vitor Barreto anotou o gol que vai dando o título do #PaulistãoA2Rivalo pra Locomotiva!,https://www.tiktok.com/@paulistao/video/7639535498767224065,2026/05/14 00:20:49,1085,33,5,3,1
QUE GOLAAAAÇOOOO! Elkin Junior abre o placar para o Juventus em Araraquara! #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7639516301777521928,2026/05/13 23:04:57,2255,65,1,1,3
OLHA ELA AÍ! 🥰🏆 Quem vai levantar a taça do Paulistão A2 Rivalo? #PaulistãoA2Rivalo,https://www.tiktok.com/@paulistao/video/7639515279604583681,2026/05/13 23:02:24,612,26,1,0,1
"MAQUINISTA, FANATICÃO E A TAÇA PRESENTES! 🏆 Já já começa a grande final do #PaulistãoA2Rivalo.",https://www.tiktok.com/@paulistao/video/7639515832535567637,2026/05/13 23:02:22,1052,33,1,0,0
"QUE GOLAAAAÇOOOOOO! o Dudu Miraíma estava inspirado nesta noite, hein?! #FutebolPaulista #PaulistasEmCampo 🎥ESPN",https://www.tiktok.com/@paulistao/video/7639169510565629205,2026/05/13 00:39:14,2951,93,2,2,2
"VAI DAÍ, DUDU MIRAÍMA?! O camisa 26 do São Bernardo acertou um belo chute para marcar para o Tigre do ABC! #FutebolPaulista #PaulistasEmCampo 🎥ESPN",https://www.tiktok.com/@paulistao/video/7639166687564107009,2026/05/13 00:28:27,1648,58,3,2,0
"NA RAÇA E NA EMOÇÃO, O CAP É CAMPEÃO! 🏆🇳🇱 O Penapolense fez uma campanha histórica nesse #PaulistãoA4Rivalo.",https://www.tiktok.com/@paulistao/video/7639113194291727623,2026/05/12 21:00:23,12295,526,8,34,14
AS TORRES DA JAVARI! 💪🔥 Fernando e Thomas Kayck deixando tudo em campo pelo Juventus na ida da final do #PaulistãoA2Rivalo.,https://www.tiktok.com/@paulistao/video/7638741888048090369,2026/05/11 21:00:24,15893,303,1,1,5
GOL DO TRICOLOR! Matheuzinho faz contra e São Paulo diminui. #Majestoso,https://www.tiktok.com/@paulistao/video/7638418350325894421,2026/05/11 00:04:20,14790,286,12,20,11
BRENO BIDON É O NOME DELE! 🥵 Que golaço do camisa 7 pra ampliar pro Timão! #PaulistasEmCampo #Majestoso,https://www.tiktok.com/@paulistao/video/7638408104618577170,2026/05/10 23:24:37,15054,1233,8,50,31
"QUE GOLAÇO, MATHEUZINHO! 😮‍💨 O Corinthians faz o segundo no Majestoso! #PaulistasEmCampo #Majestoso",https://www.tiktok.com/@paulistao/video/7638407723259825425,2026/05/10 23:24:22,8738,615,5,13,10
É LUCIANOO!! Camisa 10 do São Paulo aproveita e empata o Majestoso! #PaulistasEmCampo #Majestoso,https://www.tiktok.com/@paulistao/video/7638394179906817288,2026/05/10 22:30:26,7655,169,8,3,3
RANIELEEEEEE! ⚫️⚪️ O Corinthians abre o placar no Majestoso! #PaulistasEmCampo #Majestoso,https://www.tiktok.com/@paulistao/video/7638393930224127239,2026/05/10 22:29:35,6812,459,7,2,11
Dinizismo 🤝 Machadismo #Majestoso,https://www.tiktok.com/@paulistao/video/7638380504449961236,2026/05/10 21:37:29,12677,213,3,1,5
TIMES EM CAMPO! É hora de Majestoso! Quem vence? #PaulistasEmCampo #Majestoso,https://www.tiktok.com/@paulistao/video/7638380021341588737,2026/05/10 21:36:37,3795,236,3,0,3
O HOMEM TÁ NA CASA! ⚫️⚪️ Memphis está acompanhando o aquecimento do Timão antes do Majestoso! #PaulistasEmCampo #Majestoso #Memphis,https://www.tiktok.com/@paulistao/video/7638379850453110023,2026/05/10 21:34:57,1923,116,3,0,4
TRICOLOR CHEGOU! 🇾🇪 O São Paulo já está na Neo Química Arena pro clássico de logo mais! #PaulistasEmCampo #Majestoso,https://www.tiktok.com/@paulistao/video/7638379403902258439,2026/05/10 21:33:14,1133,41,3,0,1
CORINGÃO EM CASA! 🦅 O Corinthians já chegou em Itaquera pro Majestoso de logo mais! #PaulistasEmCampo #Majestoso,https://www.tiktok.com/@paulistao/video/7638378936417668370,2026/05/10 21:31:24,861,52,2,0,0
ERGUE A TAÇA E SOLTA O GRITO! 🏆 Penapolense é campeão! #PaulistãoA4Rivalo,https://www.tiktok.com/@paulistao/video/7638033638470208789,2026/05/09 23:11:28,7482,548,13,47,16
