ID do post,Data,Texto do post,Postar link,Impressões,Curtidas,Engajamentos,Itens salvos,Compartilhamentos,Novos seguidores,Respostas,Reposts,Visitas ao perfil,Expansões de detalhes,Cliques de URL,Cliques de hashtag,Cliques de link permanente
2102412610566275497,"Tue, Sep 22, 2026",VAMOS INVADIR SUA PRAIA! O Verdão só tem decisão contra os cariocas nesta reta final da temporada. #PaulistasEmCampo #Palmeiras https://t.co/wvwx6hPxIX,https://x.com/Paulistao/status/2102412610566275497,207,0,0,0,0,0,0,0,0,0,0,0,0
2102213929929982342,"Tue, Sep 22, 2026","EMPATE NO PACAEMBU! Com a vantagem do jogo de ida, o União São João se classifica para a semifinal da Copa Paulista Rivalo! #CopaPaulistaRivalo 📷Bruno Costa/Divulgação/Juventus https://t.co/y2thb70ma8",https://x.com/Paulistao/status/2102213929929982342,1305,4,9,0,0,0,1,0,0,1,0,0,0
2102213226389807586,"Tue, Sep 22, 2026","SEMIFINAIS DEFINIDAS! São José, Noroeste, União São João e Grêmio Prudente disputam pelas duas vagas na final da Copa Paulista Rivalo! #CopaPaulistaRivalo https://t.co/Z2JUr8jEL1",https://x.com/Paulistao/status/2102213226389807586,898,2,8,0,0,0,0,0,1,1,0,0,0
2102210130356129894,"Tue, Sep 22, 2026",FIM DAS QUARTAS DE FINAL! Vem conferir os resultados dos jogos de volta das quartas da Copa Paulista Rivalo! #CopaPaulistaRivalo https://t.co/aNq5KKHBsr,https://x.com/Paulistao/status/2102210130356129894,902,4,14,0,0,0,0,0,2,4,0,0,0
2102209157256376495,"Tue, Sep 22, 2026",UNIÃO CLASSIFICADO! O União São João está garantido na semifinal da Copa Paulista Rivalo! #CopaPaulistaRivalo https://t.co/AZuU868ONH,https://x.com/Paulistao/status/2102209157256376495,1053,2,9,0,0,0,0,2,2,0,0,0,0
2102155919346016591,"Mon, Sep 21, 2026",LOCOMOTIVA LÍDER E LEÃO NA BUSCA PELA CLASSIFICAÇÃO! Ferroviária e Inter de Limeira estão na busca pelo acesso na @cbfseriec! #PaulistasEmCampo #SérieC https://t.co/8V1elWbwum,https://x.com/Paulistao/status/2102155919346016591,1109,4,8,0,0,0,0,1,0,0,0,0,0
2102140813048451093,"Mon, Sep 21, 2026",SAI DA FRENTE QUE A LOCOMOTIVA TÁ PASSANDO! 🚂🔥 A Ferroviária segue firme no topo do grupo C em busca do acesso! #PaulistasEmCampo #SérieC https://t.co/A6bLpEGbZv,https://x.com/Paulistao/status/2102140813048451093,1003,5,7,0,0,0,0,0,0,1,0,0,0
2102136549051650420,"Mon, Sep 21, 2026",QUALQUER SEMELHANÇA... O Kaio Cristian meteu um golaço na Copa Paulista Rivalo à la Alex pela Seleção 😮‍💨 #CopaPaulistaRivalo #GrêmioPrudente https://t.co/dhTsKnjY7j,https://x.com/Paulistao/status/2102136549051650420,1789,2,6,0,0,0,0,1,1,1,0,1,0
2102118164226097461,"Mon, Sep 21, 2026","HAJA CORAÇÃO! Terminou mais uma rodada do @brasileirao, então vem dar aquele confere na classificação 👀 #PaulistasEmCampo https://t.co/HAOrGZ6uqX",https://x.com/Paulistao/status/2102118164226097461,2538,17,61,0,0,0,0,1,1,0,0,0,0
2102100239339430049,"Mon, Sep 21, 2026",QUE SEQUÊNCIA DO PEIXÃO! 🐳🔥 #PaulistasEmCampo #Santos https://t.co/0aeNPYLzhL,https://x.com/Paulistao/status/2102100239339430049,2162,84,108,1,0,0,0,5,1,4,0,2,0
