Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2094757174576894403,"Tue, Sep 1, 2026","A SEGUNDA RODADA CHEGOU! Com transmissão do YouTube do @paulistao, vem conferir mais uma volta da Taça Paulistana @petrobras. #TaçaPaulistanaPetrobras https://t.co/UCh0oX06Gs",https://x.com/PaulistaoFem/status/2094757174576894403,450,4,6,0,0,0,0,0,1,1,0,0,0
2094614235254796342,"Tue, Sep 1, 2026",Os jogos de ida das quartas de final do @brfeminino terminaram assim pras equipes paulistas! #ElasEmCampo https://t.co/h5oSC4lult,https://x.com/PaulistaoFem/status/2094614235254796342,532,6,13,0,0,0,0,2,2,0,0,1,0
2094613688204288312,"Tue, Sep 1, 2026",Palmeiras fica no empate com o Bahia e deixa a decisão das quartas do @brfeminino pro jogo da volta! #ElasEmCampo 📷 Divulgação/Palmeiras https://t.co/kHLnaQAqy7,https://x.com/PaulistaoFem/status/2094613688204288312,589,20,26,0,0,0,0,2,1,0,0,0,0
2094585333488783740,"Tue, Sep 1, 2026",A MÁGICA RESOLVE!🪄⚽ Vic Albuquerque entra e marca um golaço para garantir vantagem para as Brabas nas quartas do @brfeminino! #ElasEmCampo #Corinthians #Brabas 🎥SporTV https://t.co/tEjFFrRUZX,https://x.com/PaulistaoFem/status/2094585333488783740,1008,67,93,0,0,1,1,9,3,12,0,0,0
2094579926410186762,"Tue, Sep 1, 2026",Vic Albuquerque marca nos acréscimos e Corinthians abre vantagem nas quartas do @brfeminino! #ElasEmCampo 📷Gustavo Martins/Cruzeiro https://t.co/DJxClKmH8e,https://x.com/PaulistaoFem/status/2094579926410186762,1319,115,141,0,1,0,4,11,1,5,0,0,0
2094493020171215015,"Mon, Aug 31, 2026","DEFESA QUE NINGUÉM PASSA! Com apenas 3 gols sofridos em sete jogos, as Palestrinas entraram para as melhores defesas na história do Paulistão F @petrobras. #PaulistãoFPetrobras #Palmeiras https://t.co/DXNu2YvnEF",https://x.com/PaulistaoFem/status/2094493020171215015,620,8,22,0,0,0,0,0,1,3,0,0,0
2094425014653104333,"Mon, Aug 31, 2026",A CRAQUE DA RODADA É PALESTRINA! 🌟 Ana Guimarães foi eleita o destaque da última rodada da fase de grupos do Paulistão F Petrobras! #PaulistãoFPetrobras #CraqueDaRodada https://t.co/odGjJKyBxa,https://x.com/PaulistaoFem/status/2094425014653104333,785,76,87,0,0,1,0,5,1,0,0,2,0
2094409874633371823,"Mon, Aug 31, 2026",A segunda-feira vai ferver com as quartas de final do @brfeminino! #ElasEmCampo https://t.co/w6LjY5ghhZ,https://x.com/PaulistaoFem/status/2094409874633371823,832,40,54,0,0,0,1,1,3,0,0,0,0
2093814961227092028,"Sat, Aug 29, 2026",Um sábado sem vitórias para o #FutebolPaulista. #ElasEmCampo https://t.co/UIIN3Mt1zX,https://x.com/PaulistaoFem/status/2093814961227092028,455,5,9,0,0,0,0,0,2,0,0,1,0
2093814785930338553,"Sat, Aug 29, 2026",Ferroviária é superada no jogo de ida da quartas de final e agora terá que reverter a desvantagem em casa. #ElasEmCampo 📷Rafael Zocco/Ferroviária https://t.co/9OcqjUuDXH,https://x.com/PaulistaoFem/status/2093814785930338553,527,6,13,0,0,0,1,0,1,2,0,0,0
2093814246492557745,"Sat, Aug 29, 2026",EMPATE ENTRE TRICOLORES! Grêmio e São Paulo não saíram do zero na ide das quartas de final do Brasileirão Feminino. #ElasEmCampo 📷Caroline Martins/Grêmio https://t.co/jjgVevqxjU,https://x.com/PaulistaoFem/status/2093814246492557745,508,21,25,0,0,0,0,0,0,2,0,0,0
2093787130459722042,"Sat, Aug 29, 2026",A ida das quartas de final do Paulista F Sub-15 Petrobras já foi! Se liga nos resultados deste sábado. #PaulistaFSub15Petrobras https://t.co/RlYQ77vjvP,https://x.com/PaulistaoFem/status/2093787130459722042,451,4,6,0,0,0,0,0,0,0,0,0,0
2093685105931776153,"Sat, Aug 29, 2026",SÓ TEM JOGÃO! As quartas de finais do @brfeminino começam neste sábado com dose dupla. #ElasEmCampo https://t.co/TzHh5YYlQB,https://x.com/PaulistaoFem/status/2093685105931776153,581,26,41,0,0,0,0,8,1,0,0,0,0
2093670008966549552,"Sat, Aug 29, 2026",QUARTAS DE FINAL NA ÁREA! 😍 Os primeiros confrontos das quartas do Paulista F Sub-15 Petrobras vem aí! #PaulistaFSub15Petrobras https://t.co/qRmvWCL8cA,https://x.com/PaulistaoFem/status/2093670008966549552,334,5,9,0,0,0,0,1,1,1,0,0,0
2093389294765228123,"Fri, Aug 28, 2026",PRIMEIRA RODADA OK! ✅ Assim ficou a classificação da Taça Paulistana Petrobras ao final pra primeira rodada! #TaçaPaulistanaPetrobras https://t.co/FSDOhGhPmG,https://x.com/PaulistaoFem/status/2093389294765228123,621,15,19,0,0,0,0,0,2,0,0,0,0
2093106244147880055,"Thu, Aug 27, 2026",GLÁUCIA NO TOPO! 🚀 A jogadora das Palestrinas é quem mais deu assistência na primeira fase do Paulistão F @petrobras! #PaulistãoFPetrobras #Sil https://t.co/m7vU9XWW5m,https://x.com/PaulistaoFem/status/2093106244147880055,879,48,69,1,1,0,0,3,4,0,0,0,0
2092793512324440275,"Thu, Aug 27, 2026","OS CONFRONTOS DO PLAY-IN! 🔥Corinthians, Red Bull Bragantino, São Paulo e Santos vão disputar as duas vagas que restam nas semifinais do Paulistão F Petrobras! #PaulistãoFPetrobras https://t.co/Tv1T88h7q1",https://x.com/PaulistaoFem/status/2092793512324440275,868,52,78,2,0,0,1,6,5,4,0,1,0
