ID do post,Data,Texto do post,Postar link,Impressões,Curtidas,Engajamentos,Itens salvos,Compartilhamentos,Novos seguidores,Respostas,Reposts,Visitas ao perfil,Expansões de detalhes,Cliques de URL,Cliques de hashtag,Cliques de link permanente
2089336450240086108,"Mon, Aug 17, 2026",LOCOMOTIVA E BUGRE EM CAMPO! Ferroviária e Guarani recebem seus adversários na @cbfseriec e vão buscar os três pontos em casa! #PaulistasEmCampo https://t.co/vqvpemroKq,https://x.com/Paulistao/status/2089336450240086108,321,1,2,0,0,0,0,0,0,0,0,0,0
2089321342135095382,"Mon, Aug 17, 2026",CLÁSSICO DO ABC! Não vai faltar emoção para São Caetano e Santo André pela #CopaPaulistaRivalo. Para quem vai sua torcida? 👀 https://t.co/PkCkkLvY6l,https://x.com/Paulistao/status/2089321342135095382,507,2,4,0,0,0,0,0,0,0,0,0,0
2089148289681645987,"Mon, Aug 17, 2026",O Santos garantiu a vitória para o #FutebolPaulista neste domingo. #PaulistasEmCampo https://t.co/ftW2lpGJ2i,https://x.com/Paulistao/status/2089148289681645987,1500,35,45,0,0,0,0,2,0,0,0,0,0
2089147858641436881,"Mon, Aug 17, 2026",O Corinthians não conseguiu pontuar em casa. #PaulistasEmCampo 📷Marco Galvão/Cruzeiro https://t.co/EUC4giA8YF,https://x.com/Paulistao/status/2089147858641436881,1247,14,38,0,0,0,1,1,2,9,0,0,0
2089133294797369699,"Sun, Aug 16, 2026",PLACAR ZERADO NO REI PELÉ! Nada de gols para CRB e Novorizontino. #PaulistasEmCampo 📷Ozzair Jr/Novorizontino https://t.co/BU5fRKfocX,https://x.com/Paulistao/status/2089133294797369699,1030,7,12,1,0,0,0,0,1,0,0,0,0
2089132137752506705,"Sun, Aug 16, 2026",Noite atípica no Maião. #PaulistasEmCampo 📷JP Pinheiro/Ag. Mirassol https://t.co/KlBOYYPfs2,https://x.com/Paulistao/status/2089132137752506705,1187,8,60,0,0,0,0,0,1,24,0,0,0
2089096044105670986,"Sun, Aug 16, 2026","SANTOS, SEMPRE SANTOS! O Peixe fica com os três pontos em São Januário! #PaulistasEmCampo 📷Reinaldo Campos/Santos https://t.co/oc3X002EvN",https://x.com/Paulistao/status/2089096044105670986,1438,35,58,0,0,0,1,3,0,5,0,1,0
2089037380711760014,"Sun, Aug 16, 2026","O APITO, A TAÇA E O GRITO DE CAMPEÃO! O Paulista Sub-23 Segunda Divisão é do Independente! #FutebolPaulista https://t.co/1OK9LmQbSr",https://x.com/Paulistao/status/2089037380711760014,1299,6,8,0,0,0,0,1,0,1,0,0,0
2089027868051324967,"Sun, Aug 16, 2026","OLHA O FANTASMA AÍ! 👻 No único jogo deste domingo, o Primavera venceu o Osasco Sporting fora de casa. #CopaPaulistaRivalo 📷Tainá Araújo/Divulgação/Primavera https://t.co/6IzYtxaPCz",https://x.com/Paulistao/status/2089027868051324967,1036,5,18,0,0,0,0,2,2,1,0,0,0
2089026565501759659,"Sun, Aug 16, 2026",E ESSA COMEMORAÇÃO? HAHAHAHAHA 🤣🤣🤣 #PaulistãoSub23SegundaDivisão https://t.co/bHu1gAcjjx,https://x.com/Paulistao/status/2089026565501759659,2406,11,15,0,0,0,0,1,2,0,0,1,0
2089026514218090876,"Sun, Aug 16, 2026",“AQUI É GALO” 🏆 #PaulistaSub23SegundaDivisão https://t.co/Ae2s2m3fx6,https://x.com/Paulistao/status/2089026514218090876,1438,4,5,0,0,0,0,1,0,0,0,0,0
2089024458325475510,"Sun, Aug 16, 2026",PINTURA! O Filipe Ferreira tirou onda e marcou um golaço no título do Independente! #PaulistaSub23SegundaDivisão https://t.co/M2H9UHR7s3,https://x.com/Paulistao/status/2089024458325475510,1529,6,8,0,0,0,0,0,2,0,0,0,0
2089016415579672926,"Sun, Aug 16, 2026","COMEMORA, GALO! 🏆🐓 O Independente é campeão do Paulista Sub-23 Segunda Divisão! #FutebolPaulista 📷Alexandre Battibugli/Ag. Paulistão https://t.co/BzfmghuDQA",https://x.com/Paulistao/status/2089016415579672926,298,1,3,0,0,0,0,0,0,0,0,0,0
2089016411427402103,"Sun, Aug 16, 2026","COMEMORA, GALO! 🏆🐓 O Independente é campeão do Paulista Sub-23 Segunda Divisão! #FutebolPaulista 📷Alexandre Battibugli/Ag. Paulistão https://t.co/rGX278lOXT",https://x.com/Paulistao/status/2089016411427402103,1242,9,25,0,0,0,1,2,0,1,0,0,0
2089014892736950757,"Sun, Aug 16, 2026",ÉÉÉÉ CAMPEÃOOOOO!!! 🏆 #PaulistãoSub23SegundaDivisão https://t.co/8qwshTyVAL,https://x.com/Paulistao/status/2089014892736950757,1863,16,29,0,0,0,1,2,5,0,0,5,0
2089014318704611603,"Sun, Aug 16, 2026",PROMESSA PAGA! 🏆 #PaulistãoSub23SegundaDivisão https://t.co/R0Me9JuLIG,https://x.com/Paulistao/status/2089014318704611603,1232,4,8,0,0,0,0,2,2,0,0,0,0
2089013809046262176,"Sun, Aug 16, 2026",O GOL DO TÍTULO!!!!! 🤩🤩🤩🤩 #PaulistãoSub23SegundaDivisão https://t.co/zgKkAZUujE,https://x.com/Paulistao/status/2089013809046262176,2147,7,11,0,0,0,0,1,2,0,0,1,0
2089009636850475222,"Sun, Aug 16, 2026","VIRADA HISTÓRICA! Independente reverte a desvantagem da ida, goleia o América e fica com o título do Paulista Sub-23 Segunda Divisão! #PaulistaSub23SegundaDivisão 📷Alexandre Battibugli/Ag. Paulistão https://t.co/6UOBgJnyPZ",https://x.com/Paulistao/status/2089009636850475222,1559,6,22,0,0,0,2,2,1,1,0,0,0
2089005164199903337,"Sun, Aug 16, 2026",É O GALO DE LIMEIRA COM CRISTA DE CAMPEÃO! 🏆🐓 O Independente conquista uma virada história e fica com o título do Paulista Sub-23 Segunda Divisão! #FutebolPaulista https://t.co/ilJrkGWuZT,https://x.com/Paulistao/status/2089005164199903337,1507,13,38,0,0,0,0,3,5,6,0,1,0
2089003772726989101,"Sun, Aug 16, 2026",QUE GOLAAAAAÇOOOOO PRA MANTER O INDEPENDENTE VIVO NA BUSCA DA TAÇA!!!! #PaulistãoSub23SegundaDivisão https://t.co/VXhn8JUNZ3,https://x.com/Paulistao/status/2089003772726989101,1346,6,8,1,0,0,0,1,0,0,0,1,0
2089002890643849432,"Sun, Aug 16, 2026",O GOL DA ESPERANÇA! Iury fez de cabeça no fim do primeiro tempo e recolocou o Independente no jogo! #PaulistaSub23SegundaDivisão https://t.co/zPHHK9cc5w,https://x.com/Paulistao/status/2089002890643849432,1635,5,8,0,0,0,0,1,1,1,0,0,0
2088994770601299975,"Sun, Aug 16, 2026","Gol do Independente! Após o pênalti, o Galo consegue ampliar o placar! #PaulistaSub23SegundaDivisão https://t.co/var6Px6VXL",https://x.com/Paulistao/status/2088994770601299975,1003,5,6,0,0,0,0,1,0,0,0,0,0
