ID do post,Data,Texto do post,Postar link,Impressões,Curtidas,Engajamentos,Itens salvos,Compartilhamentos,Novos seguidores,Respostas,Reposts,Visitas ao perfil,Expansões de detalhes,Cliques de URL,Cliques de hashtag,Cliques de link permanente
2093685101813022877,"Sat, Aug 29, 2026","SABADOU COM SÉRIE A, B E C! Minhas equipes tem compromissos no @brasileirao, @brasileiraob e na @cbfseriec! #PaulistasEmCampo https://t.co/Vq44nkkgES",https://x.com/Paulistao/status/2093685101813022877,952,6,8,0,0,0,0,1,0,1,0,0,0
2093685096389996668,"Sat, Aug 29, 2026",ÚLTIMA RODADA NA ÁREA! Os classificados para a próxima fase da @cbfseriec vão ser definidos nesse sábado! #PaulistasEmCampo https://t.co/xWCsmaUezm,https://x.com/Paulistao/status/2093685096389996668,930,4,7,0,0,0,0,1,0,0,0,0,0
2093670007842754706,"Sat, Aug 29, 2026","DOSE DUPLA PARA INAUGURAR O PLAY-IN! O São Caetano enfrenta o Primavera, enquanto o União São João encara o Bandeirante. #CopaPaulistaRivalo https://t.co/ww2BghQEBd",https://x.com/Paulistao/status/2093670007842754706,913,5,9,0,0,0,0,0,1,0,0,1,0
2093639802222723561,"Sat, Aug 29, 2026","FELIZ DIA INTERNACIONAL DO GAMER! Para comemorar, fiquem com os paulistas versão ""Um Olhar Estendido"" 🎮 #PaulistãoCasasBahia #DiaDoGamer https://t.co/yVzK9TDzai",https://x.com/Paulistao/status/2093639802222723561,1630,18,30,1,1,0,0,0,0,0,0,2,0
2093513125450399919,"Sat, Aug 29, 2026",Uma vitória e uma derrota para o Futebol Paulista nesta noite de @brasileiraob! #PaulistasEmCampo #FutebolPaulista https://t.co/IPA4I2o1aI,https://x.com/Paulistao/status/2093513125450399919,1284,4,6,0,0,0,0,0,0,0,0,1,0
2093512363265622090,"Sat, Aug 29, 2026",TIGRE VENCE O LEÃO E ASSUME A TERCEIRA POSIÇÃO DO @brasileiraob! #PaulistasEmCampo #FutebolPaulista #Novorizontino 📷Juan Rodrigues/Novorizontino https://t.co/HrTgSt7sMl,https://x.com/Paulistao/status/2093512363265622090,2105,13,20,0,0,0,0,0,1,2,0,1,0
2093500115738620057,"Sat, Aug 29, 2026","Fora de casa, São Bernardo é superado pelo Goiás no @brasileiraob! #PaulistasEmCampo #FutebolPaulista 📷Rosiron Rodrigues/Divulgação/São Bernardo https://t.co/Eh12axT1CK",https://x.com/Paulistao/status/2093500115738620057,1345,3,12,0,0,0,0,0,0,1,0,0,0
2093458603000713564,"Fri, Aug 28, 2026",O PLAY-IN VAI COMEÇAR! Os jogos de ida do Play-In da Copa Paulista Rivalo vão rolar entre sábado e segunda-feira! #CopaPaulistaRivalo https://t.co/FZlcHaVx5Z,https://x.com/Paulistao/status/2093458603000713564,1336,6,17,0,0,0,0,1,0,0,0,2,0
2093413311060857175,"Fri, Aug 28, 2026",𝑭𝒍𝒂𝒄𝒐 𝑳𝒐́𝒑𝒆𝒛 𝒆𝒎 𝟐𝟎𝟐𝟔 🌟⚽🐷 #PaulistasEmCampo #Palmeiras https://t.co/vnKAxAXj8i,https://x.com/Paulistao/status/2093413311060857175,2467,224,267,0,0,0,1,9,0,4,0,0,0
2093322720964432293,"Fri, Aug 28, 2026",SEXTOU COM @brasileiraob! Bernô joga fora e o Tigre recebe seu adversário do Jorjão! #PaulistasEmCampo https://t.co/jQ0GE1lLGo,https://x.com/Paulistao/status/2093322720964432293,1829,5,12,0,0,0,0,0,1,0,0,0,0
2093277416911147234,"Fri, Aug 28, 2026","ANIVERSÁRIO DO VELÃO! 🔴🟢 Parabéns pelos 116 anos de história, Velo Clube! #FutebolPaulista #Aniversário https://t.co/US4SR7CUMw",https://x.com/Paulistao/status/2093277416911147234,1775,8,15,1,0,1,0,2,1,1,0,0,0
2093078959701303585,"Thu, Aug 27, 2026",O TALENTO DE ARIAS E A FRIEZA DE ANDREAS PEREIRA! 🐷💚 #Palmeiras #Verdão #CopaDoBrasil https://t.co/jDOnHirizn,https://x.com/Paulistao/status/2093078959701303585,4165,101,113,3,0,0,1,4,3,3,0,1,0
2092990531735585244,"Thu, Aug 27, 2026",SE LIGA NA CLASSIFICAÇÃO! 👀 Assim estão minhas equipes no @brasileiraob! #PaulistasEmCampo https://t.co/5oXs9Si0Am,https://x.com/Paulistao/status/2092990531735585244,2600,13,62,0,0,0,1,3,1,8,0,0,0
2092809389124067392,"Thu, Aug 27, 2026",Vitória na @copadobrasilcbf 🤝 vitória no @paulistaofem! Que presentão de aniversário para o Palmeiras! #PaulistasEmCampo #Palmeiras https://t.co/Z1gIw4VDNa,https://x.com/Paulistao/status/2092809389124067392,1523,71,96,0,0,0,0,5,5,1,0,0,0
2092802396543983799,"Thu, Aug 27, 2026",QUE FASE DO ARGENTINO DO VERDÃO! 🔥 O Flaco tá VO-AN-DO nos últimos jogos do Palmeiras! #PaulistasEmCampo #Palmeiras #FlacoLópez https://t.co/1eXfEy1r05,https://x.com/Paulistao/status/2092802396543983799,1323,25,36,0,0,0,0,1,0,3,0,1,0
2092800295898055024,"Thu, Aug 27, 2026",VITÓRIA ALVIVERDE! O Palmeiras conquista uma vantagem importante contra o Santos na @copadobrasilcbf! #PaulistaEmCampo 📷Diego Rodrigues/Ag.Paulistão https://t.co/w7D0ws2Bbf,https://x.com/Paulistao/status/2092800295898055024,1796,187,215,1,1,0,1,7,0,3,0,0,0
2092771744511557753,"Thu, Aug 27, 2026","DE SAÍDA! 🥺 Vendido ao Manchester City, Allan recebeu uma homenagem no gramado do Nubank Parque antes da partida contra o Santos pela @copadobrasilcbf! #PaulistasEmCampo #Palmeiras #Allan 📷Diego Rodrigues/Ag.Paulistão https://t.co/BwoCKqLtYr",https://x.com/Paulistao/status/2092771744511557753,2432,26,163,0,0,0,0,3,0,27,0,1,0
2092696079133294633,"Wed, Aug 26, 2026",PEIXÃO INVICTO NA @copadobrasilcbf! O Santos não perdeu e não tomou nenhum gol na competição até aqui! #PaulistasEmCampo https://t.co/vC1gIcAoJB,https://x.com/Paulistao/status/2092696079133294633,1732,33,49,0,1,0,1,0,1,3,0,0,0
2092688534792700008,"Wed, Aug 26, 2026",A CAMPANHA DO VERDÃO NA COPA DO BRASIL! Vem conferir os números do Palmeiras até aqui na @copadobrasilcbf! #PaulistasEmCampo https://t.co/wICYwXJ2jp,https://x.com/Paulistao/status/2092688534792700008,1377,22,34,0,0,0,0,3,2,1,0,0,0
2092628131106726157,"Wed, Aug 26, 2026","CHEGOU A HORA DE MONTAR O MELHOR PALMEIRAS QUE VOCÊ JÁ VIU! 🐷💚 Para comemorar o aniversário do Verdão, deixe aqui nos comentários qual é o melhor Palmeiras de todos os tempos! #Palmeiras #Aniversário https://t.co/JLf5rNQkab",https://x.com/Paulistao/status/2092628131106726157,1412,12,15,0,0,0,1,0,0,1,0,0,0
2092613035471044659,"Wed, Aug 26, 2026","O PRIMEIRO DO MASSA BRUTA!🏆 No dia 26 de agosto de 1990, o Red Bull Bragantino conquistava seu primeiro título do @paulistao! #FutebolPaulista #BaúDoPaulistão https://t.co/qEBnoUhP5R",https://x.com/Paulistao/status/2092613035471044659,1168,7,14,0,0,0,0,0,1,1,0,0,0
2092597939939971076,"Wed, Aug 26, 2026","É DIA DE CLÁSSICO, É DIA DE DECISÃO! Palmeiras e Santos entram em campo para os primeiros 90 minutos na @copadobrasilcbf. Jogão que vocês queriam? 👀🔥 #CopaDoBrasil #PaulistasEmCampo https://t.co/YR0JmNFNiE",https://x.com/Paulistao/status/2092597939939971076,2476,35,68,1,0,0,5,0,2,3,0,0,0
2092582845823021540,"Wed, Aug 26, 2026",QUANDO SURGE O ALVIVERDE IMPONENTE! 🏆🐷 HOJE É ANIVERSÁRIO DO ATUAL CAMPEÃO DO PAULISTÃO CASAS BAHIA! #PaulistãoCasasBahia 📷Jhony Inácio/Ag.Paulistão/Sua Foto No Jogo https://t.co/if1fRJaJKt,https://x.com/Paulistao/status/2092582845823021540,3678,309,356,0,0,0,2,17,2,3,0,0,0
2092447189125792154,"Wed, Aug 26, 2026","SÃO 112 ANOS DE HISTÓRIAS, DE LUTAS E DE GLÓRIAS! 🐷💚 Passam-se os anos, passam-se os jogadores, e o Palmeiras continua ostentando a sua fibra e jogando com alma e coração. Feliz aniversário, Verdão! 🌟 #FutebolPaulista #Aniversário https://t.co/u57vbOCy5b",https://x.com/Paulistao/status/2092447189125792154,6200,640,783,6,1,2,4,62,2,12,0,0,0
2092408502262055354,"Wed, Aug 26, 2026",A terça-feira não foi favorável para a equipe de Ribeirão Preto. #PaulistasEmCampo 📷Carlos Costa/Ag. Botafogo https://t.co/7lwHXauizB,https://x.com/Paulistao/status/2092408502262055354,1507,3,6,0,0,0,0,0,0,0,0,0,0
2092332354572279852,"Tue, Aug 25, 2026",Como está o seu time na classificação do @brasileirao? 👀 #FutebolPaulista #PaulistasEmCampo https://t.co/g0MS92R2xS,https://x.com/Paulistao/status/2092332354572279852,2707,66,116,0,0,1,1,3,3,6,0,1,0
2092322365992554798,"Tue, Aug 25, 2026","CHEGOU A HORA DO PLAY-IN DA COPA PAULISTA RIVALO! Confira os confrontos, datas e horários! #CopaPaulistaRivalo https://t.co/tjTRd9vt3N",https://x.com/Paulistao/status/2092322365992554798,2091,8,89,0,0,0,0,2,0,8,0,1,0
2092250655218094425,"Tue, Aug 25, 2026","O QUE É O PLAY-IN? 🤔 A primeira fase da Copa Paulista Rivalo terminou e, com isso, chegaram os confrontos do Play-In. Vem entender melhor como funciona. #CopaPaulistaRivalo https://t.co/QPBfIQS3DR",https://x.com/Paulistao/status/2092250655218094425,1152,5,19,0,0,0,0,1,1,0,0,0,0
2092250652529357033,"Tue, Aug 25, 2026","EQUILÍBRIO NO CLÁSSICO DA SAUDADE! 🐳🐷🌟 Em mata-matas, o Santos leva vantagem sobre o Palmeiras, mas a disputa entre os dois está acirrada! Quem será que vai vencer o duelo na @copadobrasilcbf? 👀 #PaulistasEmCampo https://t.co/fVnUniVogy",https://x.com/Paulistao/status/2092250652529357033,1383,2,17,1,0,0,0,0,0,5,0,0,0
2092235548509548546,"Tue, Aug 25, 2026","PANTERA VAI EM BUSCA DA VITÓRIA! Fora de casa, o Botafogo quer os três pontos para subir na tabela do @brasileiraob! #PaulistasEmCampo https://t.co/t5JT2ij3cz",https://x.com/Paulistao/status/2092235548509548546,1095,1,4,0,0,0,0,0,2,0,0,0,0
2092045968141058544,"Tue, Aug 25, 2026",MAIS TRÊS! O Tigre garante mais uma vitória na conta no @brasileiraob. #PaulistasEmCampo 📷 Ozzair Jr/Novorizontino https://t.co/zyvnb6omny,https://x.com/Paulistao/status/2092045968141058544,2056,13,24,0,0,0,0,0,0,0,0,0,0
