ID do post,Data,Texto do post,Postar link,Impressões,Curtidas,Engajamentos,Itens salvos,Compartilhamentos,Novos seguidores,Respostas,Reposts,Visitas ao perfil,Expansões de detalhes,Cliques de URL,Cliques de hashtag,Cliques de link permanente
2102160558585684114,"Mon, Sep 21, 2026",SEMIFINAIS DEFINIDAS! Restam quatro equipes na disputa pelo título do Paulista Sub-20 Série B. Vem conferir os confrontos que vão definir os finalistas! #PaulistaSub20SérieB https://t.co/mirlHPAvaD,https://x.com/Copinha/status/2102160558585684114,1373,2,16,1,0,0,0,1,1,0,0,0,0
2102147592868032616,"Mon, Sep 21, 2026","DE PÉ EM PÉ, DA DEFESA AO ATAQUE! QUE BELO GOL DOS MENINOS DA VILA NO PAULISTA SUB-20! #PaulistaSub20 #Santos https://t.co/cse4b6ljKO",https://x.com/Copinha/status/2102147592868032616,2214,17,23,1,0,0,0,2,2,0,0,0,0
2102133943914975577,"Mon, Sep 21, 2026",QUE GOLAÇO DO VITINHO! 🚲⚽ O camisa 11 do Jabaquara marcou esse lindo gol de bicicleta contra o Santos no Paulista Sub-20! #PaulistaSub20 https://t.co/ycM7vbpiED,https://x.com/Copinha/status/2102133943914975577,2448,11,20,0,1,1,0,2,1,4,0,1,0
2101773904926663004,"Sun, Sep 20, 2026",PASSOU A RÉGUA! Vem conferir os resultados da 14ª rodada do #PaulistaSub14. https://t.co/sVA5RUHIGm,https://x.com/Copinha/status/2101773904926663004,1982,9,58,1,0,0,0,2,2,0,0,1,0
2101747043555213518,"Sun, Sep 20, 2026",Assim terminou a Rodada 14 do #PaulistaSub13. https://t.co/oBlfHrxzCF,https://x.com/Copinha/status/2101747043555213518,1792,4,40,1,0,0,0,0,1,0,0,0,0
2101702806742712673,"Sun, Sep 20, 2026",SEMIFINAIS DEFINIDAS! Restam quatro na disputa pelo título do Paulista Sub-20 Série B! #PaulistaSubSerieB https://t.co/pc9yJQBkjX,https://x.com/Copinha/status/2101702806742712673,1623,1,7,0,0,0,0,0,1,0,0,0,0
2101701873602334779,"Sun, Sep 20, 2026",FIM DAS QUARTAS DE FINAL! Vem conferir os resultados dos jogos da volta do Paulista Sub-20 Série B! #PaulistaSub20SerieB https://t.co/ZnWhw8isfm,https://x.com/Copinha/status/2101701873602334779,1413,0,5,0,0,0,0,0,0,0,0,0,0
2101627432210247979,"Sun, Sep 20, 2026","SEGUNDA FASE NA ÁREA! Os jogos de ida do Paulista Sub-13 e do Paulista Sub-14 vão rolar nesse domingo e no próximo, dia 27! #PaulistaSub13 #PaulistaSub14 https://t.co/cQgvGXVEZo",https://x.com/Copinha/status/2101627432210247979,1702,8,50,0,0,0,0,1,2,0,0,0,0
2101472996640563316,"Sun, Sep 20, 2026",PRÓXIMA FASE! Vem conferir os confrontos da segunda fase do Paulista Sub-11 e Paulista Sub-12. #PaulistaSub11 #PaulistaSub12 https://t.co/2LBHdIDqhh,https://x.com/Copinha/status/2101472996640563316,1351,3,31,0,0,0,0,0,0,0,0,0,0
2101441837416263881,"Sat, Sep 19, 2026",FIM DA PRIMEIRA FASE! Vem conferir os resultados que fecharam a primeira volta do #PaulistaSub12 🔥 https://t.co/UkyRoSJHGl,https://x.com/Copinha/status/2101441837416263881,1830,6,28,0,0,0,0,1,2,0,0,0,0
