Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2102367321490612238,"Tue, Sep 22, 2026","SÃO JOSÉ CAMPEÃO DO @paulistaof! Há 14 anos, as Meninas da Águia conquistavam o título do Paulistão F Petrobras! #BaúDoPaulistão https://t.co/ejE5eOEIdI",https://x.com/PaulistaoFem/status/2102367321490612238,274,6,10,0,0,0,0,0,0,0,0,0,0
2102233628680007982,"Tue, Sep 22, 2026",É O PAULISTÃO NA FINAL DO @brfeminino! A disputa pelo título do Brasileirão Feminino vai ser majestosa! Quem leva a melhor: São Paulo ou Corinthians? #ElasEmCampo https://t.co/aHEHYeClxy,https://x.com/PaulistaoFem/status/2102233628680007982,785,96,131,1,0,0,0,7,4,5,0,0,0
2102225746488091003,"Tue, Sep 22, 2026","VITÓRIA E CLASSIFICAÇÃO DO TIMÃO! Com mais um gol da Jhonson, o Corinthians vence o Bahia e se classifica para a final do @brfeminino! #ElasEmCampo 📷@rebecareisfoto/Staff Images Woman/CBF https://t.co/6KLDkkLfMN",https://x.com/PaulistaoFem/status/2102225746488091003,572,41,56,1,0,0,0,7,0,0,0,0,0
2102225232119394728,"Tue, Sep 22, 2026",BRABAS GARANTIDAS EM MAIS UMA FINAL! É tradição que fala? Pode colocar mais uma decisão de @brfeminino na conta do Corinthians! #ElasEmCampo #BrasileirãoFeminino https://t.co/QEDmCAUiBf,https://x.com/PaulistaoFem/status/2102225232119394728,650,80,102,0,0,0,0,11,4,2,0,0,0
2102140814994346188,"Mon, Sep 21, 2026",TUDO DEFINIDO! Assim ficou a classificação do Paulista F Sub-17 Petrobras ao final da primeira fase! #PaulistaFSub17Petrobras https://t.co/Wb6XMWQIUt,https://x.com/PaulistaoFem/status/2102140814994346188,420,7,14,0,0,0,0,2,2,0,0,1,0
2102128819817644261,"Mon, Sep 21, 2026",A QUARTA RODADA JÁ FOI! Vem conferir a classificação da Taça Paulistana Petrobras! #TaçaPaulistanaPetrobras https://t.co/StcW8SaUff,https://x.com/PaulistaoFem/status/2102128819817644261,374,1,2,0,0,0,0,0,0,0,0,0,0
2102020029252501904,"Mon, Sep 21, 2026",BRABAS RUMO À FINAL! O Corinthians tem a vantagem no jogo de ida e vai em busca da classificação contra o Bahia para a grande decisão do @brfeminino! #ElasEmCampo https://t.co/SoEdbcjJwx,https://x.com/PaulistaoFem/status/2102020029252501904,972,142,164,0,0,0,1,10,4,2,0,0,0
2101778783904694477,"Sun, Sep 20, 2026",AGORA É MATA-MATA! Assim ficaram os confrontos das quartas de final do Paulista F Sub-17 @petrobras. #PaulistaFSub17 https://t.co/SjsVw8DBie,https://x.com/PaulistaoFem/status/2101778783904694477,453,5,7,0,0,0,0,1,0,0,0,0,0
2101770018216136948,"Sun, Sep 20, 2026",FECHANDO A PRIMEIRA FASE! Vem dar aquele confere nos resultados dos jogos da última rodada do Paulista F Sub17 @petrobras. #PaulistaFSub17Petrobras https://t.co/gjR35vUvub,https://x.com/PaulistaoFem/status/2101770018216136948,487,6,9,1,0,0,0,1,0,0,0,1,0
2101693209269162475,"Sun, Sep 20, 2026",FIM DE PAPO! Vem conferir os resultados da 4ª rodada da Taça Paulistana Petrobras! #TaçaPaulistanaPetrobras https://t.co/iKo2cMFjn3,https://x.com/PaulistaoFem/status/2101693209269162475,478,6,9,1,0,0,0,2,0,0,0,0,0
2101627432662929765,"Sun, Sep 20, 2026","ÚLTIMA RODADA! Com transmissão do YouTube do @paulistao, emoção não vai faltar na rodada decisiva do Paulista F Sub-17 @petrobras. #PaulistaFSub17Petrobras https://t.co/quOl1WM80c",https://x.com/PaulistaoFem/status/2101627432662929765,540,23,31,1,0,0,1,1,2,1,0,0,0
2101435891390558276,"Sat, Sep 19, 2026","PARTIU DECISÃO! Com mais uma vitória, o Tricolor segue em busca da taça do @brfeminino. #ElasEmCampo #SãoPaulo 📷 Miguel Schincariol / São Paulo FC https://t.co/YGEwBZAzeO",https://x.com/PaulistaoFem/status/2101435891390558276,726,83,95,0,0,0,0,2,2,1,0,0,0
2101422203371675850,"Sat, Sep 19, 2026",TRICOLOR NA FINAL! O @SaoPauloFC_Fem GARANTE A VAGA PARA A DECISÃO DO @BRFEMININO. #ElasEmCampo #SãoPaulo https://t.co/QHR6eAOH8e,https://x.com/PaulistaoFem/status/2101422203371675850,1243,141,188,2,0,1,3,29,5,2,0,0,0
2101378871622775148,"Sat, Sep 19, 2026",O Brasil se despede da Copa do Mundo Sub-20 após revés diante da Espanha. #ElasEmCampo #CopaDoMundoSub20 📷 Luciana Vermell/CBF https://t.co/0iZF44PJLc,https://x.com/PaulistaoFem/status/2101378871622775148,677,28,36,0,0,0,1,1,0,1,0,0,0
2101310341926056133,"Sat, Sep 19, 2026","VAMOS, SÃO PAULO! O Tricolor tem a vantagem do jogo de ida e vai em busca da classificação para a grande final do @brfeminino! #ElasEmCampo https://t.co/GvzrM7RPPR",https://x.com/PaulistaoFem/status/2101310341926056133,628,46,57,0,0,0,0,3,2,0,0,0,0
