Post id,Date,Post text,Post Link,Impressions,Likes,Engagements,Bookmarks,Shares,New follows,Replies,Reposts,Profile visits,Detail Expands,URL Clicks,Hashtag Clicks,Permalink Clicks
2085404058429337838,"Thu, Aug 6, 2026",ANOTA AÍ! Tudo pronto para a última rodada do Paulistão F Petrobras. Confira datas e horários! #PaulistãoFPetrobras https://t.co/pz7FO6uT0f,https://x.com/PaulistaoFem/status/2085404058429337838,944,16,50,0,1,0,0,3,3,6,0,0,0
2085371121407304079,"Thu, Aug 6, 2026","NOVIDADE NAS PALESTRINAS! O Palmeiras anunciou a contratação da Antonia, zagueira da Seleção Brasileira e que estava no Real Madrid. Bem-vinda de volta ao #FutebolPaulista 💚 #ElasEmCampo 📷 Reprodução/@Palmeiras_FEM https://t.co/Q7xUQUDcQw",https://x.com/PaulistaoFem/status/2085371121407304079,1048,109,125,0,0,0,0,3,1,1,0,0,0
2084957588752421186,"Wed, Aug 5, 2026",BORA PARA A 9ª RODADA! Confira os confrontos dessa etapa do Paulista F Sub-20 Petrobras! #PaulistaFSub20Petrobras https://t.co/CkLwDY50bL,https://x.com/PaulistaoFem/status/2084957588752421186,627,9,34,0,1,0,0,1,2,10,0,1,0
2084424219991945315,"Mon, Aug 3, 2026",DE VOLTA AO TOPO! Corinthians vence o Flamengo e reassume a liderança do Brasileirão Feminino. #ElasEmCampo 📷Divulgação/Corinthians https://t.co/h8jnIuEG2r,https://x.com/PaulistaoFem/status/2084424219991945315,550,12,23,2,0,0,1,1,0,3,0,0,0
2084406460167930157,"Mon, Aug 3, 2026","PRESENÇA CONFIRMADA NAS QUARTAS DO @brfeminino! 🔥 Corinthians, Palmeiras e São Paulo estçao com a vaga garantida nas quartas de final do Brasileirão Feminino! #ElasEmCampo https://t.co/ymQsQi9wHi",https://x.com/PaulistaoFem/status/2084406460167930157,764,27,48,1,1,0,0,0,3,1,0,0,0
2084383812268569011,"Mon, Aug 3, 2026","CLASSIFICAÇÃO NA ÁREA! Ao fim da 5ª rodada, assim ficou a tabela do Paulista F Sub-15 @petrobras! #PaulistaFSub15Petrobras https://t.co/qSI84rbGxP",https://x.com/PaulistaoFem/status/2084383812268569011,948,14,151,0,3,2,0,1,4,89,0,1,0
2084368709695819911,"Mon, Aug 3, 2026",VEM CONFERIR A TABELA! Assim ficou a tabela do Paulista F Sub-20 Petrobras depois da 8ª rodada! #PaulistaFSub20Petrobras https://t.co/U86m9qaFQ7,https://x.com/PaulistaoFem/status/2084368709695819911,661,11,19,0,0,0,0,1,3,1,0,0,0
2084338515828175347,"Mon, Aug 3, 2026","O coração da adm é assim e o de vocês também, né? 👀❤️ #PaulistãoFPetrobras https://t.co/cJlUPIPfuf",https://x.com/PaulistaoFem/status/2084338515828175347,475,2,6,1,0,0,0,0,0,0,0,0,0
2084338515215802773,"Mon, Aug 3, 2026",A maior competição de base do mundo completa todos os corações ❤️ #CopinhaSil https://t.co/r3X0uycYFm,https://x.com/PaulistaoFem/status/2084338515215802773,544,2,11,0,0,0,0,0,1,2,0,0,0
2084315351504900293,"Mon, Aug 3, 2026",Vem conferir os resultados da 8ª rodada do Paulista F Sub-20 @petrobras! #PaulistaFSub20Petrobras https://t.co/Bz19BPdaIy,https://x.com/PaulistaoFem/status/2084315351504900293,417,9,16,0,0,0,1,1,0,2,0,0,0
2084297471686029660,"Mon, Aug 3, 2026",YORELI CRAQUE DA RODADA! A colombiana das Sereias da Vila foi eleita o destaque da 5ª rodada do Paulistão F @petrobras! #PaulistãoFPetrobras #CraqueDaRodada https://t.co/u8CVA1w1to,https://x.com/PaulistaoFem/status/2084297471686029660,634,8,14,0,0,0,0,0,1,0,0,1,0
2084263011900874937,"Mon, Aug 3, 2026","PARA CIMA DELAS, BRABAS! O Corinthians recebe o Flamengo para mais um duelo no @brfeminino! #ElasEmCampo https://t.co/GWdYhU4LUb",https://x.com/PaulistaoFem/status/2084263011900874937,559,12,26,0,1,0,2,2,1,1,0,0,0
2084054557051465857,"Sun, Aug 2, 2026",Um domingo com 100% de aproveitamento para o #FutebolPaulista! #ElasEmCampo https://t.co/D91rFQBL8I,https://x.com/PaulistaoFem/status/2084054557051465857,707,9,11,1,0,0,0,1,0,1,0,0,0
2084053932817502487,"Sun, Aug 2, 2026","ACELERA, LOCOMOTIVA! Ferroviária vence Bahia e aumenta a sequencia invicta no Brasileirão Feminino. #ElasEmCampo 📷Rafael Zocco/Ferroviária https://t.co/AZSqvfOgym",https://x.com/PaulistaoFem/status/2084053932817502487,607,15,17,1,0,0,0,0,0,0,0,0,0
2084019579009761772,"Sun, Aug 2, 2026",GOLEADA TAUBATEANA! A equipe do interior leva a melhor e volta ao G8 do Brasileirão Feminino A2! #ElasEmCampo 📷Divulgação/Taubaté https://t.co/tYnbUuU2q7,https://x.com/PaulistaoFem/status/2084019579009761772,547,11,13,1,1,0,0,0,2,0,0,0,0
