"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio","Cliques no link","Feedbacks negativos dos usuários: Ocultar tudo"
1034221152657227,100082080567569,"Paulistão F","O Santos se despede do Brasileirão Feminino com vitória no Barradão.
#ElasEmCampo
📷Divulgação/Santos",,0,"08/22/2026 16:30",N/A,https://www.facebook.com/paulistaof/posts/pfbid0xPGNCvkC3qztsjwDhHABW35K4zDTjsHPJCLx3ZNqbWBKYZtxtFWKphToz2XSEyQbl,0,0,Fotos,,,,,Total,4215,3114,68,65,2,1,42,27,15,,,,,,,
1034219805990695,100082080567569,"Paulistão F","Red Bull Bragantino consegue a vitória para cima do América-MG, mas encerra sua participação no Brasileirão Feminino.
#ElasEmCampo
📷Carla Cenci/Red Bull Bragantino",,0,"08/22/2026 16:27",N/A,https://www.facebook.com/paulistaof/posts/pfbid02gYv8jUHBxg9HGYCK8SkZcJxfF7NuyPv5tKWr7srCo6hSq8TBQ7vAAbd3Bfwz6CE6l,0,0,Fotos,,,,,Total,1205,887,11,11,0,0,14,8,6,,,,,,,
1034216645991011,100082080567569,"Paulistão F","Jogando fora de casa, o Corinthians não conseguiu o resultado positivo contra o Internacional.
#ElasEmCampo
📷Rodrigo Gazzanel/Corinthians",,0,"08/22/2026 16:21",N/A,https://www.facebook.com/paulistaof/posts/pfbid022VnEFZ5ycQAqgkc7xe6GQPCqDfb5ueXZj2R9iTo5rSmVqTiLcpLgJmtUaz4BtWYal,0,0,Fotos,,,,,Total,1878,1244,59,43,16,0,68,17,51,,,,,,,
1029677093111633,100082080567569,"Paulistão F","PARA CIMA DELAS!
O Realidade Jovem vai em busca da vantagem no primeiro jogo da semifinal do Brasileirão A3!
#ElasEmCampo",,0,"08/17/2026 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02p5ya9nNM8hrx4QU2NEaUYZuEfab9FKgCEct5jQbu6s3C758v33BTSCDrWafZyFgol,0,0,Fotos,,,,,Total,3080,2216,17,17,0,0,36,22,14,,,,,
1034206842658658,100082080567569,"Paulistão F","Taubaté volta a ser superado pelo Vasco e se despede da disputa do Brasileiro Feminino A2.
#ElasEmCampo
📷Beatriz de Sá/Vasco",,0,"08/22/2026 15:59",N/A,https://www.facebook.com/paulistaof/posts/pfbid025fgztr4Sz2Jpo9QPpAAgqpmyphG6p8dmDtPT4GxJAbb5oekDHKnk2kKJRgU7Er9jl,0,0,Fotos,,,,,Total,6631,5067,21,21,0,0,41,27,14,,,,,
1034195655993110,100082080567569,"Paulistão F","QUE DIA INCRÍVEL! ❤️
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",,0,"08/22/2026 15:33",N/A,https://www.facebook.com/paulistaof/posts/pfbid0Q7jR5orQaiGbWtqXYMWybsYfEAtUfZ7mRZPqTPssz6aKTEKLqCa7pNNABp8iedGZl,0,0,Fotos,,,,,Total,958,667,27,10,1,16,17,15,2,,,,,
1034179442661398,100082080567569,"Paulistão F","RESULTADOS!
Confira como foi o sábado no Festival Paulista Sub-14 Petrobras!
#FestivalPaulistaSub14Petrobras",,0,"08/22/2026 15:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid037nzEcSFqgXmF7onVLraVCKLQhzx8pLVumEm2DnKySEEGZNMT8H2F5NdAGW1sHNJxl,0,0,Fotos,,,,,Total,2683,1803,23,11,0,12,57,50,7,,,,,
1034166469329362,100082080567569,"Paulistão F","🏅❤️
#FestivalPaulistaSub14Petrobras 
📷Rebeca Reis/Ag. Paulistão",,0,"08/22/2026 14:35",N/A,https://www.facebook.com/paulistaof/posts/pfbid0BsKXwTJTY6tJF9AvimKifonSjKZvR6je85JNrRSFaKEgwDvDR8wW9vNFFtB4r3xel,0,0,Fotos,,,,,Total,678,481,11,5,0,6,3,3,,,,,,
1034160652663277,100082080567569,"Paulistão F","QUE DIA! 🥰
Um pouco de como foi o nosso primeiro dia de #FestivalPaulistaSub14Petrobras ✅","QUE DIA! 🥰
Um pouco de como foi o nosso primeiro dia de #FestivalPaulistaSub14Petrobras ✅",22,"08/22/2026 14:25",N/A,https://www.facebook.com/reel/1077867317993895/,1,0,Vídeos,,,,,Total,408,389,5,5,0,0,2,,2,1223.188,3.168,0,0,0
1034087009337308,100082080567569,"Paulistão F","“EU VENHO NOS FESTIVAIS DESDE 2024” 🥹
A Isadora da Guerreiras Grenás, falou um pouco sobre como é viver o #FestivalPaulistaSub14 🥰","“EU VENHO NOS FESTIVAIS DESDE 2024” 🥹
A Isadora da Guerreiras Grenás, falou um pouco sobre como é viver o #FestivalPaulistaSub14 🥰",31,"08/22/2026 12:14",N/A,https://www.facebook.com/reel/2083799352215764/,1,0,Vídeos,,,,,Total,729,706,13,13,0,0,6,,6,2379.736,3.399,0,0,0
