"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Visualizações qualificadas","Feedbacks negativos dos usuários: Ocultar tudo","Feedbacks negativos dos usuários: Ocultar","Cliques no link","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","Negative feedback from users: Ocultar tudo","Negative feedback from users: Ocultar"
1255107746652173,100064588783898,"Federação Paulista de Futebol - FPF","VITÓRIA DO PEIXÃO!
Quem levou a melhor no Clássico Alvinegro foi a equipe da Baixada Santista 🔥
#PaulistasEmCampo
📷Raul Baretta/Santos FC",,0,"10/15/2025 19:30",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0S82ygMgyYL5thhXSxCcpKBU679hgzCFwYWkLt15HpwEUbkvedrosshMfPfmmYYfil,0,0,Fotos,,,,,Total,241836,168024,6052,5308,415,329,4253,1762,2491,0,10,9,,,,
1255118263317788,100064588783898,"Federação Paulista de Futebol - FPF","NOITE DOS MANDANTES!
Assim termina mais uma quarta-feira de #PaulistasEmCampo!",,0,"10/15/2025 19:50",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid02ojf3RZPks19p39ay489tKgnrdWH9hy7gakHeYz1n4C8Vr1xbpoVZ9SwAQGG9LNLsl,0,0,Fotos,,,,,Total,58874,42007,776,661,83,32,844,297,547,0,1,3,,,,
1255468469949434,100064588783898,"Federação Paulista de Futebol - FPF","VAMOS, TRICOLOR! 🇾🇪❤️‍🔥
Hoje é pela vitória fora de casa! 
#PaulistasEmCampo",,0,"10/16/2025 06:00",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0HZEmJRQCPQX54qhd1kK9mnPhY9PgJMv5H1o4HCJyzwb5zaqx1t83jdGvgEYJdB8Dl,0,0,Fotos,,,,,Total,15344,10434,150,126,23,1,148,47,101,0,,,,,,
1255671679929113,100064588783898,"Federação Paulista de Futebol - FPF","O golaço de Barreal explodiu a Vila! 💣🤍🖤","O golaço de Barreal explodiu a Vila! 💣🤍🖤",33,"10/16/2025 10:20",N/A,https://www.facebook.com/reel/669715992861431/,0,0,Vídeos,,,,,Total,36632,39472,1364,1293,29,42,775,,775,0,,,,273275.916,7.847,0
1255738346589113,100064588783898,"Federação Paulista de Futebol - FPF","CHUVA DE GOLS NO ALLIANZ PARQUE! ⚽🏟️
Não está faltando bola na rede nos jogos do Palmeiras em casa! 
#PaulistasEmCampo",,0,"10/16/2025 12:00",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid02HxVtNNG2hUv7fH5ycguUAyrpJE3Bx4FJwJZu7odu569AKwSNvZFNL1ueCAUEERpgl,0,0,Fotos,,,,,Total,377317,266115,4293,3713,348,232,4653,2698,1955,0,18,4,,,,
1255753016587646,100064588783898,"Federação Paulista de Futebol - FPF","PREPARE-SE PARA O PAULISTÃO A3 2026!
Os detalhes da competição foram definidos em Conselho Técnico nesta quinta-feira (16). Saiba mais em futebolpaulista.com.br!
#PaulistãoA3",,0,"10/16/2025 12:27",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid02D6QgasnAinKqcnSywM5n61h7GJkVdUZtotY4i7dAmwqL7H9qF8V15qpkiaL1wMPNl,0,0,Fotos,,,,,Total,38091,23915,272,206,50,16,2299,1473,796,0,1,,30,,,
1255780026584945,100064588783898,"Federação Paulista de Futebol - FPF","Do alto da Vila Belmiro, direto pro fundo da rede ⚽️🫶🏽
ZÉ RAFAEL, O TREM!
#FutebolPaulista #PaulistasEmCampo #Santos","Do alto da Vila Belmiro, direto pro fundo da rede ⚽️🫶🏽
ZÉ RAFAEL, O TREM!
#FutebolPaulista #PaulistasEmCampo #Santos",18,"10/16/2025 13:00",N/A,https://www.facebook.com/reel/4126307597585623/,0,0,Vídeos,,,,,Total,17583,17665,414,401,8,5,130,,130,0,,,,74447.96,4.653,0
1255850913244523,100064588783898,"Federação Paulista de Futebol - FPF","Os 16 clubes participantes do Paulistão A3 2026 se reuniram no edifício Pelé nesta quinta-feira (16) para definição do formato e datas da competição.
#PaulistãoA3
📷 Rodrigo Corsi/Ag. Paulistão",,0,"10/16/2025 14:09",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid02pzib5uft6yfgJvtGWNNw2LcHvehLo5oppa2r2VGveATrsmpfYGB12j9TWUMyPSK6l,0,0,Fotos,,,,,Total,21620,15721,110,95,6,9,540,386,154,0,,,,,,
1255880316574916,100064588783898,"Federação Paulista de Futebol - FPF","E ESSE GOLAÇO DO @felipeanderson?! 7️⃣🐷
Por aqui, ainda não superamos o que fez o camisa 7 do Palmeiras na noite de ontem... 😮‍💨
#PaulistasEmCampo #Palmeiras #FelipeAnderson","E ESSE GOLAÇO DO @felipeanderson?! 7️⃣🐷
Por aqui, ainda não superamos o que fez o camisa 7 do Palmeiras na noite de ontem... 😮‍💨
#PaulistasEmCampo #Palmeiras #FelipeAnderson",15,"10/16/2025 15:01",N/A,https://www.facebook.com/reel/1250273130448966/,0,0,Vídeos,,,,,Total,59728,55622,2636,2568,39,29,619,,619,0,,,,300916.967,5.782,0
1255955953234019,100064588783898,"Federação Paulista de Futebol - FPF","São Paulo é superado pelo Grêmio no @brasileirao!
#FutebolPaulista #PaulistasEmCampo
📷Rubens Chiri/São Paulo FC",,0,"10/16/2025 17:15",N/A,https://www.facebook.com/futebolpaulista/posts/pfbid0wts79hvH5i6pbD3bEybNaQNAtySj1a7XQLwzb9WToEiYMcJ9e9hHRcyjttf6GpM4l,0,0,Fotos,,,,,Total,45600,32762,801,556,227,18,1125,239,886,0,2,2,,,,
