"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Feedbacks negativos dos usuários: Ocultar tudo","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio"
1369527138674256,100068509496158,Copinha,"PRIMEIRA FASE CHEGANDO AO FIM!
Vem conferir os confrontos da 14ª rodada do Paulista Sub-20 Série A!
#PaulistaSub20SérieA",,0,"09/03/2026 14:16",N/A,https://www.facebook.com/copinha/posts/pfbid031bU6RFfmVJNwEdw9hi17eXa4XDpW4C3cteJg1xxqWCQatUi26gauDGVJm2JTkwukl,0,0,Fotos,,,,,Total,7783,5617,74,69,2,3,149,59,90,,,,,,
1366222622338041,100068509496158,Copinha,"Vamos aos resultados do Paulista Sub-14!
#PaulistaSub14",,0,"08/30/2026 13:53",N/A,https://www.facebook.com/copinha/posts/pfbid0Aty6QsrkVwuMjkTkxyBvYTkSTsU5QwVcX3nP9m3b7rxHG3YKUJWDSCEyVM3DEgqgl,0,0,Fotos,,,,,Total,2255,1254,37,24,2,11,178,32,146,,,,,,
1366144839012486,100068509496158,Copinha,"Assim termina mais uma rodada do Paulista Sub-13!
#PaulistaSub13",,0,"08/30/2026 11:37",N/A,https://www.facebook.com/copinha/posts/pfbid027pxJyJjwprLApvDCPsDDoWMQspLpRd7HyhH5X7SdjfMScGPqZsSTgMsmYFN8KWPgl,0,0,Fotos,,,,,Total,1768,992,28,17,2,9,144,28,116,,,,,,
1365775195716117,100068509496158,Copinha,"VEM MAIS SUB-13 E SUB-14 POR AÍ! 
Se liga nos confrontos da 13ª rodada do Paulista Sub-13 e do Paulista Sub-14!
#PaulistaSub13 #PaulistaSub14",,0,"08/30/2026 02:00",N/A,https://www.facebook.com/copinha/posts/pfbid0GiY4fKk864jG5aZuX8z4hYJxneb4JoRqnyPn2VLYgjMa5UC4oSy5M9FhWGr1BZy8l,0,0,Fotos,,,,,Total,2473,1593,28,23,2,3,104,17,87,,,,,,
1365461669080803,100068509496158,Copinha,"Vamos aos resultados dos jogos de ida do Paulista Sub-20 Série B.
#PaulistaSub20SerieB",,0,"08/29/2026 16:04",N/A,https://www.facebook.com/copinha/posts/pfbid0ngiwwkTzBR4BXDQN3tQPTKLWyETSDHqGWob96HZsmE4J12N1E7H9dkb4WzgtiNjHl,0,0,Fotos,,,,,Total,10834,7958,45,37,3,5,135,53,82,,,,,,
1365418052418498,100068509496158,Copinha,"PASSOU POR QUATRO!
O Luis Fhelipe saiu driblando geral da defesa do XV de Jaú pra marcar esse golaço pro Palmeiras. Nem o goleirão escapou.
#PaulistaSub15 
🎥TV Palmeiras","PASSOU POR QUATRO!
O Luis Fhelipe saiu driblando geral da defesa do XV de Jaú pra marcar esse golaço pro Palmeiras. Nem o goleirão escapou.
#PaulistaSub15 
🎥TV Palmeiras",29,"08/29/2026 14:26",N/A,https://www.facebook.com/reel/1744073410253127/,0,0,Vídeos,,,,,Total,5243,4896,80,77,0,3,54,54,,,32066.38,6.693,0,0,0
1365276822432621,100068509496158,Copinha,"FOI PRA REDE!
O Kauan Basile precisou de poucos segundos pra anotar esse golaço pra cima do Marília no Paulista Sub-15!
#PaulistaSub15 
🎥SantosTV
📷Reinaldo Campos/Santos","FOI PRA REDE!
O Kauan Basile precisou de poucos segundos pra anotar esse golaço pra cima do Marília no Paulista Sub-15!
#PaulistaSub15 
🎥SantosTV
📷Reinaldo Campos/Santos",39,"08/29/2026 10:04",auto,https://www.facebook.com/reel/2571324139962708/,0,0,Vídeos,,,,,Total,6116,6153,82,81,0,1,69,69,,,43257.262,7.4,0,0,0
1364150789211891,100068509496158,Copinha,"CHEGOU A HORA DAS OITAVAS DE FINAL DO #PaulistaSub20SérieB!",,0,"08/28/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid0B5tWh9LDLM1w2Z841dJA7CQsFRxzVmKXQVXKnezxEuNuhHC3j4QRSvfhutTbihnql,0,0,Fotos,,,,,Total,8732,6539,38,30,2,6,130,47,83,,,,,,
1360389402921363,100068509496158,Copinha,"Bora conferir os resultados da 12ª rodada do Paulista Sub-12!
#PaulistaSub12",,0,"08/23/2026 15:04",N/A,https://www.facebook.com/copinha/posts/pfbid0ymXy8eqSZgb3zyUEhigJGjCXaJW8i8CS8AvwAAJqVv6i18c4WZZQHjoT5kXGMZQLl,0,0,Fotos,,,,,Total,1714,878,26,21,0,5,110,19,91,,,,,,
1360313499595620,100068509496158,Copinha,"BORA PARA AS OITAVAS!
Assim ficaram os confrontos do #PaulistaSub20SérieB 🔥",,0,"08/23/2026 12:54",N/A,https://www.facebook.com/copinha/posts/pfbid0as6x8dsyiTR2WWq7gSmMyVjFbhVpENdWtviTRY4FWSqKKLqe1KUDT1uYaZ3sfH5Ul,0,0,Fotos,,,,,Total,7905,5892,51,29,0,22,111,57,54,,,,,,
1360303719596598,100068509496158,Copinha,"Mais uma rodada completa pelo Paulista Sub-11!
#PaulistaSub11",,0,"08/23/2026 12:39",N/A,https://www.facebook.com/copinha/posts/pfbid023cKi46VgSRAcJKGGYwRjTkPjKKmvtcJ3PppEmt4t9hLp2eMZdmfw4HyiHC6pLeGkl,0,0,Fotos,,,,,Total,3001,1770,35,21,2,12,222,31,191,,,,,,
1360303272929976,100068509496158,Copinha,"Para fechar a primeira fase do Paulista Sub-20 Série B, estes foram os resultados. 
#PaulistaSub20SérieB",,0,"08/23/2026 12:39",N/A,https://www.facebook.com/copinha/posts/pfbid0d4YvRv1sHRPaW6gj8p4EQoC8qoeeVn1pGb5zBJRdYqUHyk8B5wzxucgfDEhiUL1Ml,0,0,Fotos,,,,,Total,20275,14960,85,74,3,8,372,172,200,1,,,,,
1359141969712773,100068509496158,Copinha,"O fim de semana vem com tudo no Paulista Sub-11 e Sub-12!
#PaulistaSub11 #PaulistaSub12",,0,"08/22/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid02TsVivhtrKVQ1vTMuvPLbtMNqdk1fQCmEMx5j769VCAk1T4RyyMY2TabGpYpf1euHl,0,0,Fotos,,,,,Total,1787,1023,25,20,1,4,101,19,82,,,,,,
1357509756542661,100068509496158,Copinha,"MAIS UMA RODADA!
O Paulista Sub-20 Série A segue com TUDO por aqui! Vem conferir os jogos desta rodada 🤩
#PaulistaSub20SérieA",,0,"08/20/2026 05:00",N/A,https://www.facebook.com/copinha/posts/pfbid0334ym9wdJQRUfV6TTeMMnHFonbYhaivDjtgL7hBnQNyGod3L71zXQBwi2TZiAiwK1l,0,0,Fotos,,,,,Total,2022,1314,26,23,1,2,38,16,22,,,,,,
1357472809879689,100068509496158,Copinha,"ÚLTIMA RODADA!
VALE TUDO NO PAULISTA SUB-20 SÉRIE B 🔥
#PaulistaSub20SérieB",,0,"08/20/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid02DGu7RdBwbhUtdd9DPCVrURxdnCb9d8jRffbQgmG3jMe6v24SoYhjZAsreSSQ1k41l,0,0,Fotos,,,,,Total,3868,2711,25,21,2,2,43,19,24,,,,,,
