"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Feedbacks negativos dos usuários: Ocultar tudo","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio"
1057524840326858,100082080567569,"Paulistão F","O Brasil se despede da Copa do Mundo Sub-20 após revés diante da Espanha.
#ElasEmCampo #CopaDoMundoSub20
📷 Luciana Vermell/CBF",,0,"09/19/2026 11:32",N/A,https://www.facebook.com/paulistaof/posts/pfbid0rZGWFuMXrtjn7DWDULywrR6Np6rcNbtxGwdezBwaQ66qLqA6b7eDUY5xGbd2jsv7l,0,0,Fotos,,,,,Total,20302,14581,161,130,25,6,441,301,140,,,,,,
1057616623651013,100082080567569,"Paulistão F","TRICOLOR NA FINAL!
O @saopaulofc_fem GARANTE A VAGA PARA A DECISÃO DO @BRFEMININO.
#ElasEmCampo #SãoPaulo",,0,"09/19/2026 14:24",N/A,https://www.facebook.com/paulistaof/posts/pfbid0bGUwKUYfLcgNnSBi669bgnAK8YE2yNrkQi2MDUyFxNXGEiyFhNhF9urJ8AuPRokml,0,0,Fotos,,,,,Total,6902,4848,235,186,24,25,131,86,45,,,,,,
1057643276981681,100082080567569,"Paulistão F","PARTIU DECISÃO!
Com mais uma vitória, o Tricolor segue em busca da taça do @brfeminino.
#ElasEmCampo #SãoPaulo 
📷 Miguel Schincariol / São Paulo FC",,0,"09/19/2026 15:18",N/A,https://www.facebook.com/paulistaof/posts/pfbid02dd6vJZBTTWSsmGLzcVkgPn81nwWmkCuFV8ETUYdt2ZGuoVd13kHt2on3tCsEJY2Tl,0,0,Fotos,,,,,Total,43954,32882,1354,1285,43,26,458,218,240,,,,,,
1057650956980913,100082080567569,"Paulistão F","GARANTINDO A VAGA!
Kesia Senna carregou, saiu da marcação e marcou o gol que carimbou a vaga para o Tricolor.
#ElasEmCampo #SãoPaulo 
🎥 TV Globo","GARANTINDO A VAGA!
Kesia Senna carregou, saiu da marcação e marcou o gol que carimbou a vaga para o Tricolor.
#ElasEmCampo #SãoPaulo 
🎥 TV Globo",31,"09/19/2026 15:35",auto,https://www.facebook.com/reel/1091880823646067/,1,0,Vídeos,,,,,Total,11042,10480,382,363,12,7,192,192,,,101634.717,10.14,0,0,0
1058048280274514,100082080567569,"Paulistão F","ÚLTIMA RODADA!
Com transmissão do YouTube do @paulistao, emoção não vai faltar na rodada decisiva do Paulista F Sub-17 @petrobras.
#PaulistaFSub17Petrobras",,0,"09/20/2026 04:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02PQM9N1RUQjH7h4grKosiad3eQEYCCKrVVaiMuobAstrqcjuqNLTQNJMAf9upzVzwl,0,0,Fotos,,,,,Total,4302,3228,38,35,0,3,43,17,26,,,,,,
1058243646921644,100082080567569,"Paulistão F","FIM DE PAPO!
Vem conferir os resultados da 4ª rodada da Taça Paulistana Petrobras!
#TaçaPaulistanaPetrobras",,0,"09/20/2026 08:21",N/A,https://www.facebook.com/paulistaof/posts/pfbid02mUcoytBRgtcKX3qtrR9RayiKxXJ3SgRpLKZ3DFRBKwygULynJcskRL1PE78d93yQl,0,0,Fotos,,,,,Total,1895,1431,11,11,0,0,8,2,6,,,,,,
1058440153568660,100082080567569,"Paulistão F","FECHANDO A PRIMEIRA FASE!
Vem dar aquele confere nos resultados dos jogos da última rodada do Paulista F Sub17 @petrobras.
#PaulistaFSub17Petrobras",,0,"09/20/2026 13:25",N/A,https://www.facebook.com/paulistaof/posts/pfbid027FyqCLKpa2CDThqDD3ct5W3EJC4GDjd1GdGGnZGs6PDQzhhAsiMnEVLCNxZZYrbhl,0,0,Fotos,,,,,Total,14517,10800,73,68,1,4,123,61,62,,,,,,
1058457493566926,100082080567569,"Paulistão F","AGORA É MATA-MATA!
Assim ficaram os confrontos das quartas de final do Paulista F Sub-17 @petrobras.
#PaulistaFSub17",,0,"09/20/2026 14:02",N/A,https://www.facebook.com/paulistaof/posts/pfbid02zPUKsaQ3Ww4SYYdFpwcptjBP2QAHFVaZXrTFBj8PkkpvF5Kwu5QPwz4wbQqC5pb3l,0,0,Fotos,,,,,Total,3881,2851,36,35,0,1,40,16,24,,,,,,
1058989370180405,100082080567569,"Paulistão F","BRABAS RUMO À FINAL!
O Corinthians tem a vantagem no jogo de ida e vai em busca da classificação contra o Bahia para a grande decisão do @brfeminino!
#ElasEmCampo",,0,"09/21/2026 06:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02fuuKEEaWCDGaKmtN6TxX2q9s9ZJYJwuTUFQMGE5FBZS4V924wxijRay6V2ytrHgJl,0,0,Fotos,,,,,Total,8701,6289,251,232,15,4,166,94,72,,,,,,
1059273746818634,100082080567569,"Paulistão F","A QUARTA RODADA JÁ FOI!
Vem conferir a classificação da Taça Paulistana Petrobras!
#TaçaPaulistanaPetrobras",,0,"09/21/2026 13:12",N/A,https://www.facebook.com/paulistaof/posts/pfbid02vVxEP4sSS7RcJKkoWmwLsaTpKijQyNwEEFfmnnF2X95a5c6g8u5UcmgeUD3R8fknl,0,0,Fotos,,,,,Total,1650,1217,11,11,0,0,8,3,5,,,,,,
1059298716816137,100082080567569,"Paulistão F","TUDO DEFINIDO!
Assim ficou a classificação do Paulista F Sub-17 Petrobras ao final da primeira fase!
#PaulistaFSub17Petrobras",,0,"09/21/2026 14:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid0HWJZKi8c2fhkkm338vsaXt9wuL8ur7BioxsTXN4CzzGfv3PQuE7ySPNRX1Da2rhwl,0,0,Fotos,,,,,Total,5491,3929,46,45,0,1,108,55,53,,,,,,
1059450023467673,100082080567569,"Paulistão F","DEIXA QUE ELA RESOLVE! 🔥
Acho que já deu pra entender que bola no pé da JhonsonA05 é gol, né? As Brabas aumentam a vantagem no Brasileirão Feminino! 
#ElasEmCampo #BrasileirãoFeminino
🎥UOL","DEIXA QUE ELA RESOLVE! 🔥
Acho que já deu pra entender que bola no pé da JhonsonA05 é gol, né? As Brabas aumentam a vantagem no Brasileirão Feminino! 
#ElasEmCampo #BrasileirãoFeminino
🎥UOL",42,"09/21/2026 19:09",N/A,https://www.facebook.com/reel/1091758640382664/,1,0,Vídeos,,,,,Total,3877,3720,199,188,7,4,115,115,,,36499.314,10.281,0,0,0
1059463866799622,100082080567569,"Paulistão F","BRABAS GARANTIDAS EM MAIS UMA FINAL!
É tradição que fala? Pode colocar mais uma decisão de @brfeminino na conta do Corinthians!
#ElasEmCampo #BrasileirãoFeminino",,0,"09/21/2026 19:35",N/A,https://www.facebook.com/paulistaof/posts/pfbid02T7vrTJugrPELfTBEY54vdFF5XiNUuqYqtxWZETucSzRjAQsGQaeZxscGmMZmfHtxl,0,0,Fotos,,,,,Total,4362,3304,166,146,11,9,79,55,24,,,,,,
1059465130132829,100082080567569,"Paulistão F","VITÓRIA E CLASSIFICAÇÃO DO TIMÃO!
Com mais um gol da Jhonson, o Corinthians vence o Bahia e se classifica para a final do @brfeminino!
#ElasEmCampo
📷@rebecareisfoto/Staff Images Woman/CBF",,0,"09/21/2026 19:37",N/A,https://www.facebook.com/paulistaof/posts/pfbid02XsaKDcDkDTJAg2cuEXVYbRrW6FqJpDp5sv6VFgEGvGvmjLvtArmmnXGQfEWJcsUyl,0,0,Fotos,,,,,Total,20817,15695,596,553,29,14,252,99,153,,,,,,
1059482776797731,100082080567569,"Paulistão F","É O PAULISTÃO NA FINAL DO @brfeminino!
A disputa pelo título do Brasileirão Feminino vai ser majestosa! Quem leva a melhor: São Paulo ou Corinthians?
#ElasEmCampo",,0,"09/21/2026 20:09",N/A,https://www.facebook.com/paulistaof/posts/pfbid02Cq8gv2awchGCJZREK7XihQyChyC8v1gbfrkxzLby5c29ZkU6BasfzWtCo7TFqViQl,0,0,Fotos,,,,,Total,7256,5413,132,125,4,3,113,67,46,,,,,,
1059751206770888,100082080567569,"Paulistão F","SÃO JOSÉ CAMPEÃO DO @paulistaof!
Há 14 anos, as Meninas da Águia conquistavam o título do Paulistão F Petrobras!
#BaúDoPaulistão",,0,"09/22/2026 04:00",N/A,https://www.facebook.com/paulistaof/posts/pfbid02u6ovxV6tezsMZzwwEzEokFZhVkdLzN5yx8jgmxpuhNgWhG3cN2MwY6EMRSsQS44vl,0,0,Fotos,,,,,Total,1654,1278,4,4,0,0,7,1,6,,,,,,
