"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Outros cliques","Consumo por direcionamento de público correspondente (Photo Click)","Cliques no link","Feedbacks negativos dos usuários: Ocultar tudo","Feedbacks negativos dos usuários: Ocultar","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio","Negative feedback from users: Ocultar tudo","Negative feedback from users: Ocultar"
1334692325491071,100068509496158,Copinha,"MAIS UMA RODADA!
A oitava volta do Paulista Sub-20 Série A chegou. Bora acompanhar os jogos da rodada.
#PaulistaSub20SérieA",,0,"07/24/2026 03:30",N/A,https://www.facebook.com/copinha/posts/pfbid0PHL5soF1ezLedpiYHNsNqJphLWdANQBCviwM6T3y4E7Yokj5dLmQyiDWC153bYYsl,0,0,Fotos,,,,,Total,11983,8457,97,85,3,9,232,92,140,,,,,,,,,,
1330907545869549,100068509496158,Copinha,"E lá se foi a sétima rodada do Paulista Sub-20 Série B!
#PaulistaSub20SérieB",,0,"07/19/2026 08:18",N/A,https://www.facebook.com/copinha/posts/pfbid02Js1gxuyoLkLaCEC6CzGgZxvYkzDEkpRPPixgCpsqcntx3ZhT4zyfBbCuwz8nXUxPl,0,0,Fotos,,,,,Total,6492,4120,47,41,1,5,119,42,77,,,,,,,,,,
1330376039256033,100068509496158,Copinha,"Vamos aos resultados da 11ª rodada do Paulista Sub17!
#PaulistaSub17",,0,"07/18/2026 14:14",N/A,https://www.facebook.com/copinha/posts/pfbid02aNFMYSpyhRW1GCgopuXskwgKtSS5m5LAq2pRKvc5DAcs6nmjNdFYscMJttugC36Ll,0,0,Fotos,,,,,Total,2900,1520,28,22,3,3,206,33,173,,,,,,,,,,
1330344455925858,100068509496158,Copinha,"Mais um sabadão de grandes jogos no Paulista Sub-15.
#PaulistaSub15",,0,"07/18/2026 13:05",N/A,https://www.facebook.com/copinha/posts/pfbid02Ddqxs5CLMD35rkZPQe4rKmHELJ4UGkq7YsEpB9eN6TAxGUcdkHP1S7jmdWxHujDBl,0,0,Fotos,,,,,Total,2665,1552,32,26,3,3,141,25,116,,,,,,,,,,
1329941652632805,100068509496158,Copinha,"MOLECADA EM CAMPO!
A rodada 11 do Paulista Sub-15 e Paulista Sub-17 chegou 🔥
#PaulistaSub15 #PaulistaSub17",,0,"07/18/2026 02:00",N/A,https://www.facebook.com/copinha/posts/pfbid02nMb7rqE2dMdSBjqc1mvq86AxZfoEQavVxKaxj9GAiZADb9YCCHaYDmN8eJk5p1PFl,0,0,Fotos,,,,,Total,2680,1541,18,14,3,1,113,21,92,,,,,,,,,,
1328762202750750,100068509496158,Copinha,"QUEE GOLAAAÇOOOO!!!!
Felipe Tereza, do @palmeiras, arriscou do meio de campo e acertou um golaço no Brasileirão Sub-20!","QUEE GOLAAAÇOOOO!!!!
Felipe Tereza, do @palmeiras, arriscou do meio de campo e acertou um golaço no Brasileirão Sub-20!",44,"07/16/2026 13:31",auto,https://www.facebook.com/reel/1778977213515847/,0,0,Vídeos,,,,,Total,6946,6256,205,192,4,9,76,76,,,,,54597.213,8.641,0,0,0,,
1328469789446658,100068509496158,Copinha,"CHEGOU MAIS UMA!
A sétima rodada do #PaulistaSub20SérieB vai agitar a semana 🔥",,0,"07/16/2026 06:00",N/A,https://www.facebook.com/copinha/posts/pfbid0WVAgVCrjbdxDXtoPU5kNRvqXfPUT22R8pzq24CTd43iJxMDHFbmUWYnFK8CDzEhpl,0,0,Fotos,,,,,Total,4292,2619,30,21,3,6,70,34,36,,,,,,,,,,
1326364782990492,100068509496158,Copinha,"Saca só os resultados da sexta rodada do Paulista Sub-20 Série A.
#PaulistaSub20SérieA",,0,"07/13/2026 15:04",N/A,https://www.facebook.com/copinha/posts/pfbid02qebdpXtxBYxFgBAecpvhXRS2uU4hm9Pj186QfNWVi1tf6iFKejEfQAYQakoFgUBQl,0,0,Fotos,,,,,Total,15971,10800,97,92,1,4,280,112,168,,1,,,,,,,,
1324848773142093,100068509496158,Copinha,"Vem conferir como terminaram as partidas da sexta rodada do Paulista Sub-20 Série B.
#PaulistaSub20SérieB",,0,"07/11/2026 16:04",N/A,https://www.facebook.com/copinha/posts/pfbid05k37ciFG47FT7SQS4rtC5aDPLLapiAqoHidSDTAqj9FRtvKTbXCCaW9L4saYekWQl,0,0,Fotos,,,,,Total,8670,6033,46,41,1,4,145,62,83,,,,,,,,,,
1323636769929960,100068509496158,Copinha,"MAIS UMA CHEGANDO!
Olha a sexta rodada do Paulista Sub-20 Série B passando na sua timeline.
#PaulistaSub20SérieB",,0,"07/10/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid02E2tW555t59SkFdaYy25eVUgUsivnmJYivUanEx3RJ6bjDXq9CUMB1ssk6ZhiZTyfl,0,0,Fotos,,,,,Total,12702,9248,54,48,3,3,202,94,108,,,,,,,,,,
1323358573291113,100068509496158,Copinha,"Vem conferir os resultados da décima rodada do Paulista Sub-17.
#PaulistaSub17",,0,"07/09/2026 17:59",N/A,https://www.facebook.com/copinha/posts/pfbid02WeT17yUKErrQ2deLGnqQUQKKytU4GKHaKns8uChYxvVrNiP6a2DNk3X4rHYwGvNfl,0,0,Fotos,,,,,Total,2302,1390,26,22,3,1,143,18,125,,,,,,,,,,
1323303876629916,100068509496158,Copinha,"E lá se foi a décima rodada do Paulista Sub-15.
#PaulistaSub15",,0,"07/09/2026 15:56",N/A,https://www.facebook.com/copinha/posts/pfbid0RmvYi8WcpPx8BXm2CufknRag4f6zrMChouFuJh3NRzacqM54Mp6dZS7PkBe2NYPql,0,0,Fotos,,,,,Total,3319,2033,34,28,2,4,243,32,211,,,,,,,,,,
1323303559963281,100068509496158,Copinha,"O nona rodada do Paulista Sub-14 agitou a quinta-feira da base.
#PaulistaSub14",,0,"07/09/2026 15:55",N/A,https://www.facebook.com/copinha/posts/pfbid0cugZoGctRpixu3jXCsPrH5bJzXAoyPrc8wcbbDddCViW1mHAHPV6nbiT2LyG7oNJl,0,0,Fotos,,,,,Total,2163,1355,23,18,1,4,159,25,134,,,,,,,,,,
1323303163296654,100068509496158,Copinha,"Feriadou com muito futebol no Paulista Sub-13!
#PaulistaSub13",,0,"07/09/2026 15:54",N/A,https://www.facebook.com/copinha/posts/pfbid0335q8A6mALBSqSX7AVyWH9K1MtHFaFQe6n7E6pPV9ovin36F2PXFerPrNUiQzho5Sl,0,0,Fotos,,,,,Total,1724,1059,21,16,2,3,105,10,95,,,,,,,,,,
1322878370005800,100068509496158,Copinha,"VAMOS PARA A SEXTA RODADA!
Vem conferir os confrontos dessa rodada do Paulista Sub-20 Série A!
#PaulistaSub20SérieA",,0,"07/09/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid02Q3T34TFoHeyEH49AweYvLedU1wdehwUpVzbUjRduYakoUHR8am9VH3sJWPntiDfnl,0,0,Fotos,,,,,Total,12840,8744,102,90,2,10,264,81,183,,,,,,,,,,
1322844540009183,100068509496158,Copinha,"MAIS UMA RODADA NA ÁREA! 🔥
Vem conferir os confrontos dessa etapa do Paulista Sub-13 e Sub-14!
#PaulistaSub13 #PaulistaSub14",,0,"07/09/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid0agADnuWBPACpjgdGR7YnXYfF49QfADes4xNVEZjw7yDipFFedrGLNoJyBMpF7eisl,0,0,Fotos,,,,,Total,2608,1723,30,23,2,5,128,21,107,,,,,,,,,,
1319804000313237,100068509496158,Copinha,"Se liga em como terminaram as partidas deste fim de semana no Paulista Sub-12!
#PaulistaSub12",,0,"07/05/2026 11:34",N/A,https://www.facebook.com/copinha/posts/pfbid02R7vC2NxtK5oNSkFEzYXQed2G7pxzjAASpA5E6w4xnrS4arxAciqDT57gqH8XBwanl,0,0,Fotos,,,,,Total,2450,1428,21,14,2,5,147,23,124,,,,,,,,,,
1319794150314222,100068509496158,Copinha,"Mais uma rodada repleta de grandes jogos no Paulista Sub-11!
#PaulistaSub11",,0,"07/05/2026 11:19",N/A,https://www.facebook.com/copinha/posts/pfbid05fn5gop3rFKgbgTwaqQE3qc1GrUygTJ33Jbhzk6CjzJsw9J3nD7VArthUk43QoL4l,0,0,Fotos,,,,,Total,2248,1364,24,17,1,6,146,17,129,,,,,,,,,,
1319700196990284,100068509496158,Copinha,"Rodada cheia no Paulista Sub-20 Série A!
Se liga nos resultados do fim de semana.
#PaulistaSub20SérieA",,0,"07/05/2026 09:01",N/A,https://www.facebook.com/copinha/posts/pfbid037cUqoWu94bJJgPf2Eh9Na4ShxNubDVUHKhTLrfEqtjoWUNfhYxsR5KaMmJtwXg7Xl,0,0,Fotos,,,,,Total,15174,10399,86,79,1,6,290,115,175,,,,,,,,,,
1319020817058222,100068509496158,Copinha,"Vamos aos resultados da quinta rodada do Paulista Sub-20 Série B!
#PaulistaSub20SérieB",,0,"07/04/2026 13:47",N/A,https://www.facebook.com/copinha/posts/pfbid01Dc4jhcqBUchAnSZT3h9dgD61SYzLzmwYaxnEbHC17Pr2MRzgqQtxQkqHND7tG9al,0,0,Fotos,,,,,Total,15247,10762,69,64,2,3,260,80,180,,,,,,,,,,
1318637423763228,100068509496158,Copinha,"SUB-11 E SUB-12 NA ÁREA!
Confira os confrontos da 9ª rodada!
#PaulistaSub11 #PaulistaSub12",,0,"07/04/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid029H2Kftz5Aw83o6KWpppkvR11NDjGbf6ynu4jaM9MxfGafUMhx1Fpr9jM6N5UKBC4l,0,0,Fotos,,,,,Total,3212,2082,31,21,2,8,124,26,98,,,,,,,,,,
1318601240433513,100068509496158,Copinha,"FIM DE SEMANA CHEIO! 
Vem conferir os confrontos da 10ª rodada do Paulista Sub-15 e Paulista Sub-17!
#PaulistaSub15 #PaulistaSub17",,0,"07/04/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid05iqSQUwjqktd56WB6zEzXZFD2XoRrPJLQkBy6mXYDYwxP9MTfGVSDLhNaFxLHDj8l,0,0,Fotos,,,,,Total,3190,2134,22,15,3,4,145,21,124,,,,,,,,,,
1317792140514423,100068509496158,Copinha,"DE OLHO EM MAIS UMA RODADA!
Vem conferir a agenda de jogos da nona volta do #PaulistaSub20SérieA",,0,"07/03/2026 05:00",N/A,https://www.facebook.com/copinha/posts/pfbid02S7UHKx51j4MjPCika1Ct9HWBhmihRuWr9eUTBfAURbBvYb4fTSbETXuE83XRSqUxl,0,0,Fotos,,,,,Total,5269,3583,38,33,2,3,109,35,74,,,,,,,,,,
1316880673938903,100068509496158,Copinha,"CHEGOU MAIS UMA!
A quinta rodada do Paulista Sub-20 Série B chegou para animar o final da semana 🥳
#PaulistaSub20SérieB",,0,"07/02/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid0rrvupGqyVCWVQogGdXv3gz1y7JRV9UTkvRC68i5NgY998K9s5jLSW4RgGaFaTu3al,0,0,Fotos,,,,,Total,9467,7005,39,36,2,1,128,45,83,,,,,,,,,,
1315523327407971,100068509496158,Copinha,"A COPINHA RESOLVE 😎
Vem conferir cada cria que participou dos dois gols que classificaram o Brasil para as oitavas de final da Copa do Mundo. 

Revelado pelo Flamengo em 2017, Vini Jr começou a jogada e enxergou o Gabriel Magalhães.

Magalhães, que jogou pelo Avaí em 2016, deu aquela assistência certeira para o Casemiro. 

O camisa 5 da Seleção Brasileira disputou duas edições pelo São Paulo, 2009 e 2010, sendo campeão na última! 

MADE IN COTIA! 
O autor do primeiro gol 🔥

OI, BOA NOITE!
O jogador que disputou a Copinha mais recentemente, Rayan começou a jogada do segundo gol, e tocou para Bruno Guimarães. 

Presente em três edições de Copinha pelo Audax, Bruno Guimarães deu um passe incrível para Gabriel Martinelli! 

O astro do Arsenal, revelado no interior do Estado pelo Ituano, saiu da marcação e decretou a virada brasileira! 

VIVA AS CRIAS DA COPINHA! 😍🤩",,0,"06/30/2026 12:08",N/A,https://www.facebook.com/copinha/posts/pfbid0A2i4GBn5x9AVtRHABgBjnpXw8EQx13G6FohJQr7zycJMhLspPPi2EekY8L5U5TYel,0,0,Fotos,,,,,Total,5169,3345,27,24,0,3,284,36,248,,,,,,,,,,
1314711557489148,100068509496158,Copinha,"Da Copinha para o mundo! 🇧🇷
#SeleçãoBrasileira #CopaDoMundo
📷@fifaworldcup",,0,"06/29/2026 13:31",N/A,https://www.facebook.com/copinha/posts/pfbid07YYvxfXaWDEQc9KGueoPoTKK591edoHEEysU4JxPyWf6XVGGputb3XE5CowYnatTl,0,0,Fotos,,,,,Total,4599,3259,44,41,1,2,101,26,75,,,,,,,,,,
1313907327569571,100068509496158,Copinha,"Vamos aos resultados da oitava rodada do Paulista Sub-14!
#PaulistaSub14",,0,"06/28/2026 15:53",N/A,https://www.facebook.com/copinha/posts/pfbid0aVM8tqnVUNSQnhYHnkvwSbuKwQFMQcCqMjfuoSedGyzMPAtmhemqmvqQPgLJyL3tl,0,0,Fotos,,,,,Total,2443,1450,20,16,2,2,159,25,134,,,,,,,,,,
1313876684239302,100068509496158,Copinha,"Grandes duelos marcaram a oitava rodada do Paulista Sub-13!
#PaulistaSub13",,0,"06/28/2026 14:47",N/A,https://www.facebook.com/copinha/posts/pfbid0ygbfiYFSy6UTsRZ1fHBuD3hZp4JJJFvhFQPSot9vUKiqFBLfUS9hNAedyRCotq7Ml,0,0,Fotos,,,,,Total,1842,1129,24,16,1,7,124,22,102,,,,,,,,,,
1313872490906388,100068509496158,Copinha,"Hora de ver o que rolou de melhor na rodada do Paulista Sub-11!
#PaulistaSub11",,0,"06/28/2026 14:37",N/A,https://www.facebook.com/copinha/posts/pfbid0mjSZcyJnmapGgQjjVqEgMWTzJ1XvaHzjX1HHaBmHftih5DCkBEpFmUXe1wXKrAjAl,0,0,Fotos,,,,,Total,1885,1148,20,14,2,4,97,16,81,,,,,,,,,,
