"Identificação do post","Identificação da Página","Nome da Página",Título,Descrição,"Duração (s)","Horário de publicação","Tipo de legenda","Link permanente","É um post cruzado","É compartilhado","Tipo de post",Idiomas,"Rótulos personalizados","Status do conteúdo financiado","Comentário de dados",Data,Visualizações,Alcance,"Reações, comentários e compartilhamentos",Reações,Comentários,Compartilhamentos,"Total de cliques","Consumo por direcionamento de público correspondente (Photo Click)","Outros cliques","Feedbacks negativos dos usuários: Ocultar tudo","Segundos de visualização","Média de Segundos de visualização","Ganhos estimados (USD)","CPM do anúncio (USD)","Impressões do anúncio"
1383061413987495,100068509496158,Copinha,"PRIMEIRA PARTE JÁ FOI...
Os jogos de ida da segunda fase do Paulista Sub-17 terminaram assim.
#PaulistaSub17",,0,"09/19/2026 15:06",N/A,https://www.facebook.com/copinha/posts/pfbid0NWuoXmqnaZFtUsXoF5s9tiJcc6gxBC5g2zn6iD7W2T6GaAtwcYT9iGgGvKZ72tJVl,0,0,Fotos,,,,,Total,1670,1000,16,12,2,2,101,89,12,,,,,,
1383024520657851,100068509496158,Copinha,"FIM DE PAPO!
Vem conferir como terminou a última rodada do Paulista Sub-11.
#PaulistaSub11",,0,"09/19/2026 13:51",N/A,https://www.facebook.com/copinha/posts/pfbid0hi6BtoVfHpaxCJp6JGJykrpGa86uJQch4EiVCvUGYc6driekEgTyevKya5RhP26Wl,0,0,Fotos,,,,,Total,1266,762,14,11,1,2,93,78,15,,,,,,
1382857847341185,100068509496158,Copinha,"FIM DE MAIS UMA RODADA!
Com a primeira fase chegando ao fim, vem conferir os resultados da 19ª rodada do Paulista Sub-15!
#PaulistaSub15",,0,"09/19/2026 09:27",N/A,https://www.facebook.com/copinha/posts/pfbid0SUFbRNnW9ungt4JRA7kyC3EaABBxmkwD4oCqP4az8hofnJScir2t73NfwePLKUPxl,0,0,Fotos,,,,,Total,1365,828,14,12,1,1,96,83,13,,,,,,
1382729920687311,100068509496158,Copinha,"DA COPINHA F PETROBRAS PRO MUNDO! 🚀🇧🇷
Nossas meninas seguem vivas no sonho de conquistar a Copa do Mundo sub-20! 🤩😍 #CopaDoMundoSub20 #ElasEmCampo",,0,"09/19/2026 06:30",N/A,https://www.facebook.com/copinha/posts/pfbid02EjmDhL8e46j9neZovTBcvC25VxjndCMTpET6cSGy36MRrFcHXri9nGE6J3xGQKPHl,0,0,Fotos,,,,,Total,1128,759,10,9,0,1,27,24,3,,,,,,
1382667980693505,100068509496158,Copinha,"BORA DE MAIS UMA RODADA! 🤩
A 19ª rodada do #PaulistaSub17 vai rechear o sábado de jogos! 🔥",,0,"09/19/2026 05:00",N/A,https://www.facebook.com/copinha/posts/pfbid02yErUMx1XDGqSXFgZrthNXTnDrrbd3KoHcXqdnc7g1P2W7KdyXGazNpSUrqhG9dNRl,0,0,Fotos,,,,,Total,1215,823,15,11,2,2,39,30,9,,,,,,
1382647547362215,100068509496158,Copinha,"RODADA 19 NO PAULISTA SUB-15! 👀
A manhã do sábado já começa lotada de jogos! #PaulistaSub15",,0,"09/19/2026 04:30",N/A,https://www.facebook.com/copinha/posts/pfbid0QRsLTgeoocNSRNS8ewMYUPPpVHLTwNketiWNgBoTYHdcRRA2APF2Uv7ygbePF6Jrl,0,0,Fotos,,,,,Total,1085,727,12,9,2,1,19,17,2,,,,,,
1382628417364128,100068509496158,Copinha,"RODADA CHEIA NESSE SÁBADO!
Vem conferir os confrontos da 14ª rodada do Paulista Sub-11 e do Paulista Sub-12!
#PaulistaSub11 #PaulistaSub12",,0,"09/19/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid027UebbqsgG8mY1mBKUNAwBvVryxTJmafnD8kS1CDHRYnQYXDjrrTGEcVmZprT19i4l,0,0,Fotos,,,,,Total,1210,794,15,10,1,4,60,56,4,,,,,,
1381785340781769,100068509496158,Copinha,"QUEM FICA COM A VAGA?!
Vem conferir a volta das quartas de final do Paulista Sub-20 Série B. 
#PaulistaSub20SérieB",,0,"09/18/2026 04:00",N/A,https://www.facebook.com/copinha/posts/pfbid0jZmhLdfSfKMqWn25ke1m87LNnGCbv6kD7BEA1JFmooM2SRiwPtx2wMz8gBXGmJbJl,0,0,Fotos,,,,,Total,2908,2104,27,21,2,4,28,16,12,,,,,,
1381750494118587,100068509496158,Copinha,"AGORA É MATA-MATA!
16 confrontos para movimentar o Paulista Sub-20.
#PaulistaSub20SérieA",,0,"09/18/2026 03:00",N/A,https://www.facebook.com/copinha/posts/pfbid0EC6Pb1oG6bqDrD3opEvHAvT8iLufHotNw4TptR3HGruEsSfme5hfrVHhAqZKcaEkl,0,0,Fotos,,,,,Total,3608,2630,28,24,2,2,57,38,19,,,,,,
1380512377575732,100068509496158,Copinha,"QUE GOLAAAAAÇO DO SÃO PAULO!
Marvin garantiu a vitória do Tricolor no Paulista Sub-20 com essa bomba de fora da área!
#PaulistaSub2","QUE GOLAAAAAÇO DO SÃO PAULO!
Marvin garantiu a vitória do Tricolor no Paulista Sub-20 com essa bomba de fora da área!
#PaulistaSub2",49,"09/16/2026 14:35",auto,https://www.facebook.com/reel/28678713811752299/,0,0,Vídeos,,,,,Total,1811,1670,19,16,1,2,11,,11,,12459.013,7.298,0,0,0
